questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
subjective,markdown,### **1. Define Version Control System (VCS).**,,,,,,,,,,,,,,,markdown,"When pushing a branch to a remote repository for the first time, Git needs to know which remote branch it should track.


Explain why the `-u` (upstream) flag is used during the first push.


Think about future `git push` and `git pull` commands.


Setting an upstream branch links the local branch to a remote branch.


Using `git push -u origin branch-name` sets an **upstream relationship** between the local branch and the remote branch. After this is done, Git knows where to push and pull from by default. This allows developers to use simple commands like `git push` and `git pull` without specifying the remote and branch every time.


- Required only for the first push of a branch
- Upstream can be changed later if needed"
subjective,markdown,### **2. Explain why manually copying project folders is not a reliable version-management method.**,,,,,,,,,,,,,,,markdown,"Developers often need to update their local repository with changes from the remote repository.


Differentiate between `git fetch` and `git pull` and explain why fetch is safer.


One updates references only, the other updates code automatically.


`git fetch` downloads changes without merging, while `git pull` fetches and merges automatically.


`git fetch` retrieves the latest changes from the remote repository and updates remote-tracking branches, but it **does not modify the working directory**. This allows developers to review changes before merging.
`git pull` performs a fetch followed by an automatic merge, which can introduce conflicts immediately. Fetch is considered safer because it gives developers full control over when and how changes are merged.


- Pull can cause unexpected conflicts
- Fetch requires an extra merge step"
subjective,markdown,### **3. Evaluate why Git has become the industry standard. Provide two strong reasons.**,,,,,,,,,,,,,,,markdown,"A local Git repository must be connected to a remote repository to enable sharing and collaboration.


Demonstrate the first-time push workflow from local to remote.


Initialize locally, then link and push to remote.


The first push connects the local repository to a remote and uploads initial commits.


In this task, a local repository is created and a `README.md` file is committed. A remote repository is then created on **GitHub** and linked using `git remote add origin`. The code is pushed using `git push -u origin main`, which uploads the commit and sets the upstream branch. This establishes the foundation for all future collaboration.


- Remote repository must exist before pushing
- Branch name (`main` vs `master`) must match"
subjective,markdown,### **Q1. Define what Git is in the context of version control.**,,,,,,,,,,,,,,,markdown,"When pushing a branch to a remote repository for the first time, Git needs to know which remote branch it should track.


Explain why the `-u` (upstream) flag is used during the first push.


Think about future `git push` and `git pull` commands.


Setting an upstream branch links the local branch to a remote branch.


Using `git push -u origin branch-name` sets an **upstream relationship** between the local branch and the remote branch. After this is done, Git knows where to push and pull from by default. This allows developers to use simple commands like `git push` and `git pull` without specifying the remote and branch every time.


- Required only for the first push of a branch
- Upstream can be changed later if needed"
subjective,markdown,### **Q2. Describe the main difference between Git and GitHub in terms of purpose.**,,,,,,,,,,,,,,,markdown,"Developers often need to update their local repository with changes from the remote repository.


Differentiate between `git fetch` and `git pull` and explain why fetch is safer.


One updates references only, the other updates code automatically.


`git fetch` downloads changes without merging, while `git pull` fetches and merges automatically.


`git fetch` retrieves the latest changes from the remote repository and updates remote-tracking branches, but it **does not modify the working directory**. This allows developers to review changes before merging.
`git pull` performs a fetch followed by an automatic merge, which can introduce conflicts immediately. Fetch is considered safer because it gives developers full control over when and how changes are merged.


- Pull can cause unexpected conflicts
- Fetch requires an extra merge step"
subjective,markdown,### **Q3. Summarise why having the same name and email in Git and GitHub matters.**,,,,,,,,,,,,,,,markdown,"A local Git repository must be connected to a remote repository to enable sharing and collaboration.


Demonstrate the first-time push workflow from local to remote.


Initialize locally, then link and push to remote.


The first push connects the local repository to a remote and uploads initial commits.


In this task, a local repository is created and a `README.md` file is committed. A remote repository is then created on **GitHub** and linked using `git remote add origin`. The code is pushed using `git push -u origin main`, which uploads the commit and sets the upstream branch. This establishes the foundation for all future collaboration.


- Remote repository must exist before pushing
- Branch name (`main` vs `master`) must match"
subjective,markdown,### **Q4. Differentiate between centralized and distributed version control systems with one real-world advantage of each.**,,,,,,,,,,,,,,,markdown,"Direct commits to the main branch can introduce unstable code.


Demonstrate a safe feature-based workflow using branches and Pull Requests.


Changes flow through a feature branch before reaching main.


Feature branches isolate work and are merged through Pull Requests.


In this workflow, a new branch `feature-update` is created from `main`. Changes are committed locally and pushed to the remote repository. A Pull Request is then raised to merge the feature branch into `main`. After review and successful merge, the feature branch is deleted to keep the repository clean. This process ensures code review, traceability, and controlled integration.


- Merge conflicts may need manual resolution
- Branch deletion should happen only after merge"
subjective,markdown,### **Q5. GitHub requires internet while Git does not. Evaluate whether it is still necessary to use GitHub in a software team and justify your answer.**,,,,,,,,,,,,,,,markdown,"Multiple developers working on the same repository need a structured collaboration process.


Demonstrate collaboration using Pull Requests, either with a real collaborator or a simulated workflow.


Think in terms of ownership, review, and controlled merging.


Pull Requests enable collaboration, review, and safe merging of changes.


In this task, changes are made in a separate branch (`collab-feature`) either by a collaborator or via solo simulation. The branch is pushed to GitHub and a Pull Request is raised against `main`. The Pull Request allows review, discussion, and approval before merging. Once merged, the changes become part of the main branch, demonstrating a real-world collaborative workflow.


- Fork-based workflows are used in open-source projects
- Review delays can slow integration"
subjective,markdown,### **Q6. You installed Git but commits show “Unknown Author” in GitHub. Apply your knowledge to solve the issue. (What command(s) should be executed?)**,,,,,,,,,,,,,,,markdown,"A file was modified after committing, but changes need to be discarded.


Restore a file to its last committed state.


Use restore for working directory cleanup.


Git can revert files back to the last commit.


```bash
echo ""console.log('Profile loaded');"" > profile.js
git add profile.js
git commit -m ""Add profile module""

echo ""console.log('Extra log');"" >> profile.js

git restore profile.js
```

This returns `profile.js` to the state of the last commit.


- Discarded changes cannot be recovered
- Does not affect commit history"
subjective,markdown,### **Q1. What is the purpose of the Staging Area in Git?**,,,,,,,,,,,,,,,markdown,"When pushing a branch to a remote repository for the first time, Git needs to know which remote branch it should track.


Explain why the `-u` (upstream) flag is used during the first push.


Think about future `git push` and `git pull` commands.


Setting an upstream branch links the local branch to a remote branch.


Using `git push -u origin branch-name` sets an **upstream relationship** between the local branch and the remote branch. After this is done, Git knows where to push and pull from by default. This allows developers to use simple commands like `git push` and `git pull` without specifying the remote and branch every time.


- Required only for the first push of a branch
- Upstream can be changed later if needed"
