questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,"A **Swiggy-style grocery app** builds a cart from scratch. A developer writes:

```python
cart = []
cart.append(""Rice"")
cart.append(""Dal"")
cart.append(""Milk"")
print(len(cart))
```

What is printed?",,,,,,3,,`0`,`1`,`3`,"`['Rice', 'Dal', 'Milk']`",,6a3a2b20b59fd37f6abddb16,0,markdown,"Each **`append()`** adds one item to the end of the list. After three appends, the list has **3 items**, and **`len(cart)`** returns **3**.

**Why other options are wrong:**
- A and B: The list is not empty after three `append` calls.
- D: `len()` returns a **number**, not the list itself."
mcsc,markdown,"A **festival countdown board** stores names in order:

```python
festivals = [""Holi"", ""Diwali"", ""Eid"", ""Christmas""]
print(festivals[0])
```

What is printed?",,,,,,1,,`Holi`,`Diwali`,`1`,`IndexError`,,6a3a2b20b59fd37f6abddb16,0,markdown,"Python lists use **0-based indexing**. The **first** item is at index **`0`**, which is **`""Holi""`**.

**Why other options are wrong:**
- B: `""Diwali""` is at index `1`.
- C: Indexing returns the **item**, not its position number.
- D: Index `0` is valid for a list of length 4."
mcsc,markdown,"A **typing tutor app** checks character positions in the word `""Python""`.

Which index correctly refers to the **last character** `'n'` using **positive** indexing?",,,,,,2,,`6`,`5`,`0`,`-6`,,6a3a2b20b59fd37f6abddb16,0,markdown,"`""Python""` has **6 characters**, so valid positive indices are **`0` through `5`**. The last character **`'n'`** is at index **`5`** (`len(word) - 1`).

**Why other options are wrong:**
- A: Index `6` is **out of range** and would raise `IndexError`.
- C: Index `0` is the first character `'P'`.
- D: `-6` is valid negative indexing for `'P'`, not the last character (`-1` would be `'n'`)."
mcsc,markdown,"A beginner stores team names but accidentally uses the wrong brackets:

```python
team_a = (10, 20, 30)   # Line 1
team_b = [10, 20, 30]   # Line 2
```

Which statement is **correct**?",,,,,,3,,Both `team_a` and `team_b` are Python lists,`team_a` is a list; `team_b` is a tuple,`team_b` is a list; `team_a` is a tuple,Both are tuples,,6a3a2b20b59fd37f6abddb16,0,markdown,"**Square brackets `[ ]`** create a **list**. **Parentheses `( )`** with comma-separated values create a **tuple** — not a list.

**Why other options are wrong:**
- A: Parentheses do not create a list.
- B: The bracket types are swapped.
- D: Line 2 clearly uses `[ ]`, which is a list."
mcsc,markdown,"A **weather dashboard** stores seven daily temperatures (in °C):

```python
temps = [32, 34, 31, 33, 35, 30, 29]
print(temps[2:5])
```

What is printed?",,,,,,1,,"`[31, 33, 35]`","`[34, 31, 33]`","`[31, 33, 35, 30]`","`[32, 34, 31]`",,6a3a2b20b59fd37f6abddb16,0.5,markdown,"Slicing **`[2:5]`** includes indices **2, 3, and 4** and **stops before 5**. Those values are **`31`, `33`, and `35`**.

**Why other options are wrong:**
- B: Starts at index 1, not 2.
- C: Includes index 5 (`30`), but `stop` is **exclusive**.
- D: That slice would be `temps[:3]`."
mcsc,markdown,"A **stationery shop** updates inventory after a sale:

```python
items = [""Pen"", ""Pencil"", ""Eraser"", ""Sharpener""]
removed = items.pop(1)
print(removed)
print(items)
```

What is printed (two lines)?",,,,,,1,,"`Pencil` then `['Pen', 'Eraser', 'Sharpener']`","`Pen` then `['Pencil', 'Eraser', 'Sharpener']`","`Eraser` then `['Pen', 'Pencil', 'Sharpener']`","`Pencil` then `['Pen', 'Pencil', 'Eraser', 'Sharpener']`",,6a3a2b20b59fd37f6abddb16,0.5,markdown,"**`pop(1)`** removes and returns the item at **index 1** — **`""Pencil""`**. The remaining list is **`['Pen', 'Eraser', 'Sharpener']`**.

**Why other options are wrong:**
- B: Index 1 is not `""Pen""`.
- C: Index 1 is not `""Eraser""`.
- D: `pop` **removes** the item — the list cannot still contain `""Pencil""`."
mcmc,markdown,"A **college attendance app** stores roll numbers in a Python list.

Which statements about **lists** are **correct**?

*Select all correct options.*",,,,,,,,"Lists are **mutable** — you can change an item after creation (e.g., `marks[2] = 95`)",**`append(x)`** adds a single item to the **end** of the list,"Writing `grades = (90, 85, 88)` creates a mutable list",An empty list `[]` is valid and can be grown later with `append`,"1, 2, 4",6a3a2b20b59fd37f6abddb16,0.5,markdown,"- A: Lists allow in-place updates by index.
- B: `append` always adds at the **last position**.
- D: Empty lists are a standard pattern before collecting data in a loop.
- C is **false**: parentheses create a **tuple**, which is not the same as a mutable list.

**Why other options are wrong:**
- C: `( )` does not create a list."
mcmc,markdown,"A **campus ID card kiosk** builds a display line from a student's name and age:

```python
name = ""Riya""
age = 20
line = ""Student: "" + name + "" | Age: "" + str(age)
```

Which statements about **strings and concatenation** are **correct**?

*Select all correct options.*",,,,,,,,**`+`** joins strings end to end when both sides are strings,"**`str(age)`** converts the integer `20` to the string `""20""` so it can be joined with text","**`""Age: "" + age`** works without `str()` because Python auto-converts numbers in `+`","Strings are **immutable** — you cannot change a single character in place like `name[0] = ""r""`","1, 2, 4",6a3a2b20b59fd37f6abddb16,0.5,markdown,"- A and B: Concatenation requires **string operands**; numbers must be converted with **`str()`**.
- D: Strings cannot be updated by index assignment.
- C is **false**: `""Age: "" + 20` raises **`TypeError`** — Python does not auto-convert for `+`.

**Why other options are wrong:**
- C: Mixing `str` and `int` with `+` causes a type error."
mcmc,markdown,"A **exam marks portal** processes scores:

```python
marks = [78, 92, 64, 85]
backup = marks[:]
marks.sort(reverse=True)
```

Which statements are **correct**?

*Select all correct options.*",,,,,,,,"After `sort(reverse=True)`, `marks` becomes `[92, 85, 78, 64]`","`backup` remains `[78, 92, 64, 85]` because slicing created a **new list**",`marks.sort(reverse=True)` returns a new sorted list and leaves `marks` unchanged,"Calling `sort()` on a list that mixes integers and strings (e.g., `[1, ""two""]`) can raise `TypeError`","1, 2, 4",6a3a2b20b59fd37f6abddb16,1,markdown,"- A: Descending sort arranges from largest to smallest.
- B: **`marks[:]`** copies into a separate list; `sort()` changes **`marks` only**.
- D: Python cannot compare incompatible types during sorting.
- C is **false**: **`sort()`** modifies the list **in place** and returns **`None`**, not a new list.

**Why other options are wrong:**
- C: Confuses **`sort()`** (in-place method) with a non-mutating copy-returning pattern."
mcmc,markdown,"A **fitness tracker** stores five daily step counts:

```python
steps = [4500, 8200, 6100, 9800, 7200]
total = sum(steps)
count = len(steps)
average = total / count
peak = max(steps)
low = min(steps)
```

Which statements are **correct**?

*Select all correct options.*",,,,,,,,`total` is `35800`,`count` is `5`,`sum(steps)` removes the largest value from the list before returning the total,`peak` is `9800` and `low` is `4500`,"1, 2, 4",6a3a2b20b59fd37f6abddb16,1,markdown,"- A: `4500 + 8200 + 6100 + 9800 + 7200 = 35800`.
- B: The list has **five** integers.
- D: **`max()`** finds the highest; **`min()`** finds the lowest — neither changes the list.
- C is **false**: **`sum()`** only **adds** values; it does **not** remove anything from the list.

**Why other options are wrong:**
- C: Built-in `sum()` does not modify the original list."
