transaction_id,amount,hour,day_of_week,merchant_category,distance_from_home_km,transactions_last_1hr,is_international,card_age_months,is_fraud
TXN100000,2010.65,21,Thu,fuel,4.78,0,1,34,0
TXN100001,1331.83,20,Fri,grocery,1.01,0,0,104,0
TXN100002,1204.43,15,Fri,grocery,9.63,1,1,37,0
TXN100003,1484.21,16,Thu,online_shopping,4.65,0,0,111,0
TXN100004,1618.62,11,Tue,fuel,1.57,0,0,115,0
TXN100005,1314.24,11,Sat,restaurant,10.62,0,0,27,0
TXN100006,1330.35,20,Sun,online_shopping,11.73,0,0,89,0
TXN100007,5224.27,23,Sun,travel,149.65,3,1,1,1
TXN100008,3371.18,11,Sat,online_shopping,0.3,0,0,67,0
TXN100009,1670.59,14,Tue,restaurant,3.01,0,0,118,0
TXN100010,1240.2,19,Fri,restaurant,4.14,0,0,69,0
TXN100011,356.47,16,Fri,utilities,4.63,0,0,95,0
TXN100012,4082.02,16,Sat,grocery,15.04,1,0,60,0
TXN100013,3258.88,14,Fri,online_shopping,5.91,1,0,85,0
TXN100014,3082.23,17,Sun,restaurant,5.81,0,1,53,0
TXN100015,2342.9,18,Sat,online_shopping,9.51,0,0,70,0
TXN100016,1156.56,17,Tue,grocery,0.45,1,0,47,0
TXN100017,1502.45,17,Wed,travel,0.87,1,0,13,0
TXN100018,1498.16,8,Sat,online_shopping,12.78,0,0,6,0
TXN100019,539.71,10,Thu,restaurant,0.08,0,0,8,0
TXN100020,849.12,8,Wed,healthcare,5.35,0,0,91,0
TXN100021,2723.82,11,Wed,online_shopping,2.75,1,0,99,0
TXN100022,3410.3,21,Tue,fuel,14.95,1,0,89,0
TXN100023,1771.67,13,Wed,atm,4.04,0,0,38,0
TXN100024,920.25,14,Mon,restaurant,12.27,0,1,37,0
TXN100025,932.45,9,Sat,travel,11.0,1,0,25,0
TXN100026,1360.07,9,Mon,utilities,1.71,0,0,82,0
TXN100027,4056.25,8,Wed,grocery,1.73,0,0,30,0
TXN100028,1234.15,13,Sat,restaurant,3.32,0,0,47,0
TXN100029,2511.58,11,Sat,travel,4.38,1,0,14,0
TXN100030,4893.49,12,Mon,utilities,4.35,0,0,25,0
TXN100031,662.8,18,Tue,fuel,13.01,0,0,59,0
TXN100032,826.66,10,Thu,fuel,2.25,1,1,48,0
TXN100033,1546.72,9,Thu,grocery,0.5,1,0,62,0
TXN100034,1329.2,13,Thu,grocery,5.75,0,0,34,0
TXN100035,1467.59,10,Tue,atm,10.35,1,0,48,0
TXN100036,10620.82,23,Sun,travel,404.58,7,0,17,1
TXN100037,2943.56,15,Sat,grocery,12.05,0,0,29,0
TXN100038,710.51,14,Sun,fuel,17.8,1,0,33,0
TXN100039,6461.46,14,Mon,healthcare,11.16,0,0,96,0
TXN100040,1224.71,8,Sat,fuel,0.52,0,0,27,0
TXN100041,1200.04,14,Fri,restaurant,6.91,0,0,52,0
TXN100042,499.22,12,Fri,online_shopping,23.91,1,0,77,0
TXN100043,2449.53,14,Wed,online_shopping,0.76,0,0,6,0
TXN100044,923.0,21,Sat,atm,1.32,0,0,77,0
TXN100045,1394.99,9,Thu,online_shopping,5.51,0,0,22,0
TXN100046,691.04,10,Sun,travel,5.85,0,0,51,0
TXN100047,2598.61,21,Tue,fuel,0.19,0,0,17,0
TXN100048,1032.5,12,Fri,online_shopping,1.65,0,0,18,0
TXN100049,1862.88,15,Mon,grocery,3.31,1,0,106,0
TXN100050,1636.56,19,Fri,healthcare,20.67,0,0,44,0
TXN100051,4188.94,15,Mon,grocery,10.03,0,0,59,0
TXN100052,1966.91,17,Fri,online_shopping,5.21,1,0,14,0
TXN100053,2039.28,11,Wed,utilities,0.51,0,0,92,0
TXN100054,1758.09,9,Sun,online_shopping,3.37,0,0,85,0
TXN100055,2946.18,22,Sun,travel,185.88,8,0,34,1
TXN100056,1298.79,17,Fri,grocery,0.18,0,0,92,0
TXN100057,1687.0,20,Wed,fuel,7.36,3,0,43,0
TXN100058,450.82,10,Fri,fuel,3.54,0,0,100,0
TXN100059,1543.71,11,Wed,grocery,0.51,0,0,116,0
TXN100060,654.33,17,Mon,online_shopping,1.92,1,0,97,0
TXN100061,3462.57,18,Sun,healthcare,0.32,1,0,72,0
TXN100062,2009.93,14,Tue,atm,1.81,1,0,38,0
TXN100063,1167.99,15,Sun,atm,13.3,2,0,27,0
TXN100064,1068.62,10,Sun,healthcare,9.35,1,0,84,0
TXN100065,815.21,19,Sun,fuel,11.63,0,1,26,0
TXN100066,1019.59,20,Mon,online_shopping,14.08,0,1,42,0
TXN100067,3209.46,21,Sat,restaurant,9.21,2,0,8,0
TXN100068,582.91,9,Wed,online_shopping,3.61,0,0,28,0
TXN100069,848.1,14,Tue,utilities,5.71,0,0,15,0
TXN100070,911.47,21,Tue,atm,5.76,0,0,61,0
TXN100071,528.07,15,Mon,grocery,0.54,0,0,27,0
TXN100072,2460.57,11,Sat,fuel,3.85,1,0,97,0
TXN100073,1936.92,21,Thu,restaurant,16.53,1,0,71,0
TXN100074,1138.0,12,Thu,online_shopping,20.57,0,0,85,0
TXN100075,750.66,9,Mon,grocery,3.53,0,0,110,0
TXN100076,1911.2,8,Fri,utilities,0.53,1,0,40,0
TXN100077,2825.29,16,Sat,online_shopping,36.52,1,0,55,0
TXN100078,1441.67,17,Tue,utilities,8.78,0,0,77,0
TXN100079,1830.97,10,Sun,utilities,8.77,0,0,111,0
TXN100080,915.54,10,Thu,fuel,16.38,0,0,119,0
TXN100081,2327.71,10,Mon,online_shopping,19.05,0,0,76,0
TXN100082,503.96,15,Sat,utilities,7.84,0,0,77,0
TXN100083,2274.72,19,Thu,restaurant,4.18,1,0,51,0
TXN100084,5172.21,9,Sat,atm,1.34,0,0,55,0
TXN100085,342.23,12,Fri,online_shopping,13.93,1,0,75,0
TXN100086,5225.86,10,Wed,online_shopping,7.02,1,0,10,0
TXN100087,925.0,18,Sat,restaurant,9.02,1,0,87,0
TXN100088,1271.76,13,Mon,utilities,5.99,0,0,38,0
TXN100089,2464.39,19,Sat,fuel,12.38,1,0,114,0
TXN100090,979.52,9,Thu,fuel,40.88,1,0,26,0
TXN100091,828.77,8,Fri,restaurant,10.05,0,0,63,0
TXN100092,1600.34,17,Sun,grocery,3.12,0,0,33,0
TXN100093,3127.31,16,Wed,online_shopping,17.6,1,0,52,0
TXN100094,540.75,10,Tue,online_shopping,8.15,0,0,47,0
TXN100095,527.29,19,Sun,grocery,16.84,1,0,37,0
TXN100096,1038.29,17,Tue,atm,2.65,1,0,33,0
TXN100097,1294.39,14,Tue,online_shopping,0.89,0,0,42,0
TXN100098,1017.03,17,Sat,utilities,0.16,0,0,63,0
TXN100099,423.29,11,Sun,fuel,5.79,1,0,62,0
TXN100100,2641.84,18,Sun,online_shopping,18.26,1,0,91,0
TXN100101,535.97,16,Sun,restaurant,11.58,0,0,38,0
TXN100102,1283.08,10,Mon,atm,19.45,0,0,102,0
TXN100103,1561.44,16,Tue,utilities,10.96,1,0,9,0
TXN100104,648.03,20,Fri,grocery,2.72,1,0,26,0
TXN100105,3389.8,14,Thu,fuel,8.7,1,0,80,0
TXN100106,1166.31,13,Thu,restaurant,1.43,0,0,20,0
TXN100107,1879.82,18,Sun,restaurant,0.01,0,0,6,0
TXN100108,907.3,17,Sat,fuel,4.0,0,0,67,0
TXN100109,1239.34,13,Thu,travel,5.75,0,0,56,0
TXN100110,944.42,8,Sun,travel,17.36,0,0,84,0
TXN100111,710.11,15,Thu,restaurant,16.29,1,0,53,0
TXN100112,2474.45,17,Mon,grocery,2.7,0,0,31,0
TXN100113,1843.9,8,Sat,healthcare,23.99,0,0,96,0
TXN100114,652.64,13,Thu,utilities,4.51,0,0,68,0
TXN100115,1307.49,9,Thu,healthcare,20.38,2,0,78,0
TXN100116,560.21,9,Sat,online_shopping,33.34,0,0,40,0
TXN100117,321.43,12,Wed,online_shopping,0.21,0,0,57,0
TXN100118,1815.1,18,Mon,travel,3.46,1,0,46,0
TXN100119,2608.59,15,Wed,restaurant,33.98,0,0,110,0
TXN100120,1498.66,16,Mon,atm,29.02,1,0,20,0
TXN100121,1065.91,8,Tue,online_shopping,3.97,0,0,83,0
TXN100122,4171.53,9,Tue,online_shopping,0.88,1,0,75,0
TXN100123,2959.53,21,Tue,travel,13.51,2,0,61,0
TXN100124,638.25,21,Wed,restaurant,2.75,1,0,79,0
TXN100125,890.48,14,Thu,online_shopping,7.7,1,0,116,0
TXN100126,1016.49,9,Sat,utilities,0.8,1,0,85,0
TXN100127,753.78,16,Mon,online_shopping,12.82,0,0,112,0
TXN100128,1479.41,15,Sun,grocery,1.29,1,0,115,0
TXN100129,413.87,14,Thu,fuel,0.24,0,0,29,0
TXN100130,819.08,14,Thu,restaurant,1.14,0,0,28,0
TXN100131,3588.24,14,Fri,utilities,9.52,0,0,35,0
TXN100132,928.84,21,Fri,online_shopping,13.92,0,0,54,0
TXN100133,1795.05,20,Sun,grocery,9.44,0,0,117,0
TXN100134,1769.55,11,Thu,restaurant,0.45,0,0,6,0
TXN100135,588.82,14,Mon,restaurant,5.6,0,0,95,0
TXN100136,2610.83,10,Sat,travel,17.03,0,0,51,0
TXN100137,513.55,13,Thu,grocery,0.87,0,0,59,0
TXN100138,1842.24,8,Fri,grocery,6.64,0,0,107,0
TXN100139,477.55,21,Mon,online_shopping,7.41,1,0,15,0
TXN100140,3562.97,15,Mon,online_shopping,8.71,2,0,63,0
TXN100141,3671.17,13,Sun,fuel,16.61,0,0,78,0
TXN100142,3966.67,15,Thu,fuel,6.85,0,0,76,0
TXN100143,1507.08,16,Sun,restaurant,0.06,0,0,99,0
TXN100144,2623.8,17,Mon,online_shopping,8.88,0,0,55,0
TXN100145,836.44,9,Thu,utilities,0.58,1,0,22,0
TXN100146,1090.36,12,Sun,fuel,10.35,1,0,77,0
TXN100147,1255.26,8,Mon,fuel,6.4,0,0,84,0
TXN100148,620.52,16,Thu,online_shopping,10.81,1,0,37,0
TXN100149,978.84,21,Wed,restaurant,1.73,1,0,88,0
TXN100150,420.51,9,Mon,fuel,23.23,0,0,34,0
TXN100151,1416.15,21,Wed,grocery,2.4,0,0,25,0
TXN100152,871.26,12,Fri,restaurant,2.7,0,0,80,0
TXN100153,966.92,10,Tue,grocery,3.61,0,0,104,0
TXN100154,1744.14,8,Thu,online_shopping,1.08,0,0,81,0
TXN100155,1162.06,18,Thu,grocery,24.3,0,0,54,0
TXN100156,1219.1,14,Sat,online_shopping,1.15,0,0,33,0
TXN100157,706.61,11,Fri,utilities,3.83,0,0,85,0
TXN100158,2126.73,14,Sun,restaurant,5.19,2,0,92,0
TXN100159,1258.54,13,Fri,online_shopping,3.35,0,0,24,0
TXN100160,1518.04,14,Wed,grocery,32.25,0,0,64,0
TXN100161,1141.21,10,Sat,restaurant,0.46,0,0,110,0
TXN100162,670.97,19,Sun,fuel,0.62,0,0,31,0
TXN100163,904.44,17,Thu,utilities,7.6,0,0,30,0
TXN100164,1100.93,11,Sun,restaurant,18.16,0,0,14,0
TXN100165,2168.71,19,Mon,atm,2.33,0,0,101,0
TXN100166,1671.82,16,Mon,healthcare,3.09,0,0,82,0
TXN100167,501.55,11,Wed,restaurant,5.01,0,0,8,0
TXN100168,427.99,12,Wed,grocery,12.23,0,0,90,0
TXN100169,1248.19,18,Fri,grocery,30.03,1,0,78,0
TXN100170,1608.11,9,Thu,grocery,3.99,0,0,76,0
TXN100171,1172.89,14,Sun,grocery,0.06,0,0,78,0
TXN100172,3273.34,9,Tue,utilities,2.92,2,0,116,0
TXN100173,663.88,20,Tue,grocery,6.97,0,0,85,0
TXN100174,1300.53,19,Sat,fuel,29.31,0,0,69,0
TXN100175,3485.86,16,Mon,grocery,2.29,1,0,84,0
TXN100176,1919.0,10,Tue,utilities,16.43,0,0,21,0
TXN100177,1227.95,15,Sat,grocery,4.94,2,0,89,0
TXN100178,1681.0,14,Sun,grocery,5.78,1,0,71,0
TXN100179,495.21,9,Sun,travel,18.09,0,0,35,0
TXN100180,655.41,17,Wed,online_shopping,0.55,0,0,115,0
TXN100181,2503.5,20,Mon,atm,1.19,0,0,52,0
TXN100182,1919.46,20,Sat,restaurant,6.2,1,0,37,0
TXN100183,1503.25,15,Tue,healthcare,2.35,0,0,10,0
TXN100184,2040.44,17,Sun,fuel,0.52,0,0,78,0
TXN100185,378.79,14,Wed,grocery,8.42,1,0,53,0
TXN100186,22508.98,22,Fri,atm,377.5,5,0,14,1
TXN100187,1353.82,18,Mon,fuel,2.56,1,0,98,0
TXN100188,1554.38,11,Sun,utilities,0.75,0,0,66,0
TXN100189,2060.44,10,Fri,grocery,12.68,0,0,43,0
TXN100190,1365.5,10,Sun,grocery,6.65,1,0,65,0
TXN100191,1366.91,18,Wed,grocery,14.67,0,0,48,0
TXN100192,1266.52,13,Mon,grocery,24.65,0,0,23,0
TXN100193,3716.35,17,Wed,healthcare,0.19,0,0,58,0
TXN100194,2105.78,21,Sun,utilities,17.88,0,0,111,0
TXN100195,2019.65,17,Sat,grocery,2.6,0,0,82,0
TXN100196,1368.27,14,Sun,online_shopping,10.31,1,0,70,0
TXN100197,317.75,13,Mon,online_shopping,3.54,0,0,42,0
TXN100198,2882.86,16,Sun,utilities,3.21,0,0,80,0
TXN100199,520.83,14,Thu,healthcare,1.95,0,0,93,0
TXN100200,2408.72,19,Fri,grocery,3.54,0,0,80,0
TXN100201,755.83,14,Wed,atm,0.51,3,0,79,0
TXN100202,4123.39,14,Fri,online_shopping,3.95,0,0,64,0
TXN100203,1190.95,21,Sun,utilities,12.12,0,0,72,0
TXN100204,1420.0,11,Thu,grocery,23.28,1,0,33,0
TXN100205,1405.84,12,Sat,utilities,3.05,0,0,18,0
TXN100206,1327.97,18,Wed,grocery,3.55,0,0,71,0
TXN100207,767.44,12,Tue,travel,3.95,0,0,24,0
TXN100208,667.01,21,Thu,healthcare,4.24,0,0,88,0
TXN100209,1016.99,11,Sat,grocery,3.62,0,0,19,0
TXN100210,699.05,16,Mon,online_shopping,0.42,1,0,55,0
TXN100211,7040.83,23,Wed,online_shopping,274.41,5,1,24,1
TXN100212,3853.3,19,Tue,restaurant,9.0,0,0,109,0
TXN100213,1156.24,18,Thu,grocery,2.73,0,0,37,0
TXN100214,1462.16,11,Thu,restaurant,6.06,0,0,91,0
TXN100215,1178.95,15,Sat,online_shopping,3.61,1,0,61,0
TXN100216,1443.56,11,Thu,grocery,1.26,1,0,48,0
TXN100217,3554.91,9,Fri,grocery,0.79,0,0,53,0
TXN100218,2246.28,19,Thu,grocery,5.66,1,0,50,0
TXN100219,650.55,10,Sat,atm,9.91,0,0,46,0
TXN100220,1926.25,11,Sat,travel,0.74,0,0,99,0
TXN100221,1316.62,8,Sun,grocery,1.14,1,0,8,0
TXN100222,637.4,8,Wed,online_shopping,8.41,0,0,11,0
TXN100223,3128.24,16,Wed,fuel,4.73,0,0,27,0
TXN100224,975.15,18,Wed,atm,7.09,0,0,85,0
TXN100225,548.47,11,Tue,fuel,9.09,0,0,39,0
TXN100226,1100.35,17,Wed,restaurant,1.0,1,0,20,0
TXN100227,3401.46,16,Wed,grocery,9.98,0,0,118,0
TXN100228,8513.78,10,Sat,restaurant,30.95,1,1,16,0
TXN100229,2329.93,15,Wed,online_shopping,4.9,1,0,75,0
TXN100230,2609.35,12,Thu,grocery,15.41,0,0,7,0
TXN100231,1303.05,14,Sat,restaurant,16.92,1,0,37,0
TXN100232,5474.51,14,Tue,healthcare,7.94,0,0,63,0
TXN100233,10383.39,22,Tue,atm,190.72,10,1,31,1
TXN100234,1217.14,18,Mon,fuel,23.25,0,0,22,0
TXN100235,331.06,21,Sat,healthcare,7.05,0,0,11,0
TXN100236,2508.58,19,Sat,utilities,1.34,0,0,6,0
TXN100237,1607.33,14,Sun,online_shopping,12.15,0,0,98,0
TXN100238,1112.91,12,Sun,online_shopping,11.83,0,0,33,0
TXN100239,997.52,9,Mon,utilities,22.41,0,0,27,0
TXN100240,1057.39,19,Sun,atm,10.95,0,0,82,0
TXN100241,554.22,8,Tue,online_shopping,0.8,0,0,46,0
TXN100242,3478.83,18,Tue,restaurant,7.99,0,0,47,0
TXN100243,1287.48,14,Sun,fuel,18.46,1,0,47,0
TXN100244,865.46,12,Fri,travel,19.15,1,0,26,0
TXN100245,4186.44,8,Tue,utilities,1.63,0,0,70,0
