questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,option.5,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,"A backend engineer is onboarding a new team member and explaining the two broad categories of cryptography. The new hire asks: ""In symmetric key cryptography, how many keys are used between two communicating parties?"" Which answer is correct?",,,,,,4,,Two keys — one public key and one private key are generated per communicating party,One key for encryption and a separate key derived from the first for decryption only,Four keys in total — each party holds both an encryption key and a decryption key,One shared secret key used by both parties for encryption and decryption operations,,,6a115d5b928bfb670f60d105,0,markdown,Symmetric cryptography uses **one shared secret key** for both encryption and decryption. **Why others are wrong:** Public/private pairs describe asymmetric crypto; symmetric does not use separate encrypt/decrypt keys or four keys per party.
mcsc,markdown,A security analyst is reviewing a code audit report that flags a legacy system's password storage mechanism. The report notes that two completely different input values produce the same hash output for the algorithm in use. Which hashing problem does this describe?,,,,,,3,,Avalanche effect causing different outputs from the same input,Rainbow table vulnerability from pre-computed hash lookups,Hash collision producing identical outputs from different inputs,Salt reuse weakness across multiple stored passwords,,,6a115d5b928bfb670f60d105,0,markdown,A **hash collision** is two different inputs producing the same hash — why MD5 is broken for security. **Why others are wrong:** Avalanche is opposite; rainbow tables are lookup attacks; salt reuse is not same-output-from-different-inputs.
mcsc,markdown,"A junior developer is writing a password-storage module for a new web application. The team lead says: ""Never use plain SHA-256 for passwords — use a purpose-built algorithm instead."" The developer asks why Argon2id is the top recommendation. Which property best explains this?",,,,,,2,,"It is FIPS-compliant, required for US government systems, and auto-salts passwords","It is memory-hard and auto-salts, resisting GPU and ASIC brute-force attacks","It produces a fixed-length output, making it the fastest for high-load systems","It is faster than bcrypt and scrypt, ideal for high-throughput authentication",,,6a115d5b928bfb670f60d105,0,markdown,"**Argon2id** is OWASP's first choice because it is **memory-hard** and **auto-salts**, raising GPU/ASIC attack cost. **Why others are wrong:** Argon2id is not FIPS-compliant; fixed-length is generic; it is deliberately slower than bcrypt."
mcsc,markdown,A DevOps engineer is reviewing a Python microservice. The error handler currently reads: `except Exception as e: return str(e)`. What will be the concrete security consequence of this pattern in a production environment?,,,,,,2,,The application will log passwords to the internal monitoring system,The full stack trace and internal details will be exposed to the API caller,The exception will be silently swallowed and the user will receive no response,The application will retry the failed operation automatically,,,6a115d5b928bfb670f60d105,0,markdown,"Returning `str(e)` exposes **paths, internals, and stack details** to the API caller. **Why others are wrong:** It does not log passwords to monitoring, swallow errors, or retry automatically."
mcsc,markdown,"A security engineer at a financial services firm is designing a new user authentication system. The firm must comply with FIPS (Federal Information Processing Standards) requirements mandated by its government contracts. The engineer cannot use Argon2id. Which password-hashing algorithm should be selected, and what iteration count aligns with FIPS standards?",,,,,,3,,"bcrypt with 12 rounds; bcrypt is FIPS-compliant, memory-hard, and auto-salting",SHA-256 with a random 16-byte salt; SHA-256 is purpose-built for password storage,"PBKDF2 at ~600,000 iterations; mandated for FIPS-compliant password hashing",scrypt with high memory cost; scrypt is FIPS-compliant and memory-hard by design,,,6a115d5b928bfb670f60d105,0.5,markdown,"When FIPS is required without Argon2id, use **PBKDF2 at ~600,000 iterations**. **Why others are wrong:** bcrypt and scrypt are not FIPS-compliant; SHA-256 is not a password KDF."
mcsc,markdown,A penetration tester recovers a database dump containing password hashes. The hashes were stored with SHA-256 but no salting was applied. The tester pastes several hashes into CrackStation. Which outcome best describes what will happen and why?,,,,,,3,,CrackStation will fail because SHA-256 has no known collisions and is not yet broken,CrackStation will crack the passwords via real-time SHA-256 computation and brute force,CrackStation will look up the hashes in its pre-computed table and return plaintexts,CrackStation only succeeds when passwords are shorter than 8 characters in length,,,6a115d5b928bfb670f60d105,0.5,markdown,"CrackStation does a **pre-computed table lookup** on unsalted SHA-256 — instant plaintext, not live brute force. **Why others are wrong:** Collision resistance does not stop rainbow lookups; length is not the gate."
mcmc,markdown,"A data engineer is evaluating password-hashing algorithms for a new SaaS platform. The team wants algorithms that handle salt generation automatically — removing that responsibility from application developers. Which of the following algorithms automatically generate a salt without requiring the developer to do it manually?

*(Select all that apply)*",,,,,,,,scrypt,Argon2id,PBKDF2,bcrypt,,"2,4",6a115d5b928bfb670f60d105,0.5,markdown,**Argon2id** and **bcrypt** auto-salt. **Why A and C are wrong:** scrypt and PBKDF2 require the developer to supply salt at call time.
mcmc,markdown,"A senior developer is reviewing a Python authentication module and spots several patterns. Which of the following are correct, secure practices for handling passwords and authentication in production code?

*(Select all that apply)*",,,,,,,,Using MD5 to hash passwords because it is fast and always produces a fixed-length output,Using the `secrets` library to generate cryptographically random tokens for password resets,Hard-coding API keys directly in source code to eliminate the need to manage `.env` files,"Returning ""Invalid credentials"" on login failure rather than exposing the stored hash",,"2,4",6a115d5b928bfb670f60d105,0.5,markdown,Use **`secrets`** for reset tokens and return **generic** login failures. **Why A and C are wrong:** MD5 is broken for security; hard-coded API keys must not live in source.
mcmc,markdown,"A security architect is reviewing a startup's backend infrastructure after a near-miss data breach. The startup stored user passwords using SHA-256 without salting, committed API keys to their GitHub repository, and returned raw exception objects to API clients. Which of the following independent remediation steps would directly address the vulnerabilities identified?

*(Select all that apply)*",,,,,,,,Replace SHA-256 password hashing with bcrypt via `bcrypt.hashpw` and `bcrypt.gensalt(rounds=12)`,"Add a unique, random 16-byte salt per password before hashing, per OWASP minimum requirements",Switch from AES-256 to SHA-256 for data in transit to reduce ciphertext output size,"Move secrets to a `.env` file excluded from Git, or use HashiCorp Vault or AWS Secrets Manager",Update the error handler to log exceptions internally and return only a generic message,"1,2,4,5",6a115d5b928bfb670f60d105,1,markdown,"**A, B, D, E** fix hashing, salting, secrets in repo, and error leakage. **Why C is wrong:** SHA-256 is not encryption for data in transit — mixing hash and encrypt categories."
mcmc,markdown,"A platform engineering team is deploying a Python web application with a full CI/CD pipeline on GitHub Actions. They want automated detection of weak cryptographic practices in every pull request. Which of the following statements about Bandit and Semgrep are accurate based on how these tools operate?

*(Select all that apply)*",,,,,,,,"Bandit is Python-specific and can detect hard-coded passwords, MD5 usage, and SHA-1 usage, reporting file name, line number, and severity level",Semgrep is a multi-language SAST tool; scanning the same vulnerable Python file with auto-configured rules can execute hundreds of rules and surface findings that overlap with Bandit on weak-hash issues,Both Bandit and Semgrep flag MD5 and weak hash usage in intentionally vulnerable sample code as high-severity security issues,Running `bandit -r lab/ --severity-level medium` on a file that uses MD5 for password hashing always produces zero findings because MD5 is acceptable for non-authentication use cases,,"1,2,3",6a115d5b928bfb670f60d105,1,markdown,**A–C** match Bandit/Semgrep behaviour on weak hashes. **Why D is wrong:** Bandit reports high-severity MD5 findings on vulnerable sample code — not zero.
