questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,What is the primary characteristic to remember when **creating and initializing lists in python**?,,,,,,1,,They are essential data structures used to store and manipulate collections of data.,They can only store integer values.,They are automatically sorted in alphabetical order.,They cannot be assigned to variables.,,,,markdown,
subjective,markdown,"**Problem:**
Create the following lists and print each one:
1. Empty list
2. List of integers from 1 to 5
3. List of three strings: ""red"", ""green"", ""blue""
4. List of three floats: 1.5, 2.5, 3.5
5. Mixed list with a string, integer, float, and boolean

**Expected Output:**
Empty list: []
Integers: [1, 2, 3, 4, 5]
Colors: ['red', 'green', 'blue']
Floats: [1.5, 2.5, 3.5]
Mixed: ['Python', 42, 3.14, True]

**Category:** Implementation
**Prerequisite LOs:** 9.1.1, 9.1.2",,,,,,,,,,,,,,0,markdown,"**Problem:** Write a function `greet` that takes a `name` parameter and an optional `greeting` parameter with default value ""Hello"". Return a greeting message.

**Solution:**
```python
def greet(name, greeting=""Hello""):
    return f""{greeting}, {name}!""

print(greet(""Alice""))  # Hello, Alice!
print(greet(""Bob"", ""Hi""))  # Hi, Bob!
print(greet(""Charlie"", ""Good morning""))  # Good morning, Charlie!
```

**Output:**
Hello, Alice!
Hi, Bob!
Good morning, Charlie!

**Explanation:**
The function has two parameters:
1. `name` - required parameter (no default)
2. `greeting` - optional parameter with default value ""Hello""

When called with just one argument (e.g., `greet(""Alice"")`), the `greeting` parameter uses its default value ""Hello"". When called with two arguments (e.g., `greet(""Bob"", ""Hi"")`), the second argument overrides the default value. The function returns a formatted greeting string using an f-string that combines the greeting and name.

**Key Concept:** Default parameters make function arguments optional, providing flexibility without requiring multiple function definitions."
subjective,markdown,"**Problem:**
1. Create a list of numbers from 0 to 9 using range()
2. Create a list of even numbers from 2 to 20 using range()
3. Convert the string ""PYTHON"" to a list of characters
4. Split the sentence ""I love programming"" into a list of words

**Expected Output:**
Numbers 0-9: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
Even numbers 2-20: [2, 4, 6, 8, 10, 12, 14, 16, 18, 20]
Characters: ['P', 'Y', 'T', 'H', 'O', 'N']
Words: ['I', 'love', 'programming']

**Category:** Implementation
**Prerequisite LOs:** 9.1.1, 9.1.2",,,,,,,,,,,,,,0,markdown,"**Problem:** Create a function `power` that takes a base number and an exponent with a default value of 2. Return the result.

**Solution:**
```python
def power(base, exponent=2):
    return base ** exponent

print(power(5))  # 25 (5²)
print(power(2, 3))  # 8 (2³)
print(power(10))  # 100 (10²)
print(power(3, 4))  # 81 (3⁴)
```

**Output:**
25
8
100
81

**Explanation:**
This function calculates the power of a number. The `base` parameter is required, while `exponent` has a default value of 2 (for squaring). If you call `power(5)`, it calculates 5² = 25. If you call `power(2, 3)`, it calculates 2³ = 8. The default value of 2 is useful because squaring is a common operation, making the function convenient for that use case while still allowing other exponents.

**Key Concept:** Default parameters should represent the most common or sensible use case for that parameter."
subjective,markdown,"**Problem:**
Create a 3x3 matrix (nested list) representing a tic-tac-toe board with the following layout:
X | O | X
---------
O | X | O
---------
X | O | X
Then:
1. Print the entire board
2. Print the center element
3. Print the top row
4. Print the bottom-right element

**Expected Output:**
Board: [['X', 'O', 'X'], ['O', 'X', 'O'], ['X', 'O', 'X']]
Center: X
Top row: ['X', 'O', 'X']
Bottom-right: X

**Category:** Implementation
**Prerequisite LOs:** 9.1.1, 9.1.2",,,,,,,,,,,,,,0.5,markdown,"**Problem:** Define a function `calculate_discount` that takes a price and a discount percentage with a default of 10%. Return the discounted price.

**Solution:**
```python
def calculate_discount(price, discount_percent=10):
    discount_amount = price * discount_percent / 100
    final_price = price - discount_amount
    return final_price

print(calculate_discount(100))  # 90.0 (10% off)
print(calculate_discount(100, 20))  # 80.0 (20% off)
print(calculate_discount(250))  # 225.0 (10% off)
print(calculate_discount(50, 5))  # 47.5 (5% off)
```

**Output:**
90.0
80.0
225.0
47.5

**Explanation:**
The function calculates the final price after applying a discount. The `discount_percent` parameter has a default value of 10, representing a common discount rate. The calculation:
1. Calculate discount amount: `price * discount_percent / 100`
2. Subtract from original price: `price - discount_amount`

When called with just the price (`calculate_discount(100)`), it uses the default 10% discount. When called with both parameters (`calculate_discount(100, 20)`), it uses the specified discount rate.

**Key Concept:** Default parameters work well for common business rules or standard values that can be overridden when needed."
subjective,markdown,"**Problem:**
Create a list to store information for 4 students. Each student should be a nested list containing: [name, math_grade, science_grade, english_grade].

Students:
- Alice: 85, 90, 88
- Bob: 78, 82, 86
- Charlie: 92, 89, 94
- Diana: 88, 91, 87

Then:
1. Print all students
2. Calculate and print the average for each student
3. Find the student with the highest math grade

**Expected Output:**
All students:
[['Alice', 85, 90, 88], ['Bob', 78, 82, 86], ['Charlie', 92, 89, 94], ['Diana', 88, 91, 87]]

Student Averages:
Alice: 87.67
Bob: 82.00
Charlie: 91.67
Diana: 88.67

Highest math grade: Charlie with 92

**Category:** Application
**Prerequisite LOs:** 9.1.1, 9.1.2",,,,,,,,,,,,,,0.5,markdown,"**Problem:** Write a function `create_email` that takes a username and an optional domain with default value ""example.com"". Return the full email address.

**Solution:**
```python
def create_email(username, domain=""example.com""):
    return f""{username}@{domain}""

print(create_email(""alice""))  # alice@example.com
print(create_email(""bob"", ""gmail.com""))  # bob@gmail.com
print(create_email(""charlie"", ""company.org""))  # charlie@company.org
```

**Output:**
alice@example.com
bob@gmail.com
charlie@company.org

**Explanation:**
This function creates email addresses by combining a username with a domain. The `domain` parameter has a default value of ""example.com"", which is useful for testing or when working with a primary domain. The function simply concatenates the username, the ""@"" symbol, and the domain using an f-string. Users can override the domain by providing a second argument.

**Key Concept:** Default parameters are excellent for configuration values that have a standard setting but may need customization."
subjective,markdown,"**Problem:**
Create a shopping cart system where each item is represented as a list: [product_name, price, quantity].

Add these items to the cart:
- Laptop: $999.99, quantity 1
- Mouse: $29.99, quantity 2
- Keyboard: $79.99, quantity 1
- USB Cable: $9.99, quantity 3

Calculate and display:
1. Total number of unique items
2. Total number of individual products (sum of quantities)
3. Subtotal for each item (price × quantity)
4. Grand total

**Expected Output:**
Shopping Cart:
Item 1: Laptop - $999.99 x 1 = $999.99
Item 2: Mouse - $29.99 x 2 = $59.98
Item 3: Keyboard - $79.99 x 1 = $79.99
Item 4: USB Cable - $9.99 x 3 = $29.97

Unique items: 4
Total products: 7
Grand Total: $1169.93

**Category:** Application
**Prerequisite LOs:** 9.1.1, 9.1.2",,,,,,,,,,,,,,0.5,markdown,"**Problem:** Create a function `repeat_text` that takes text and a count parameter with default value 3. Return the repeated text.

**Solution:**
```python
def repeat_text(text, count=3):
    return text * count

print(repeat_text(""Hello""))  # HelloHelloHello
print(repeat_text(""Hi"", 5))  # HiHiHiHiHi
print(repeat_text(""*""))  # ***
print(repeat_text(""-"", 10))  # ----------
```

**Output:**
HelloHelloHello
HiHiHiHiHi
***
----------

**Explanation:**
This function repeats a string a specified number of times using Python's string multiplication operator (`*`). The `count` parameter has a default value of 3, making it easy to quickly repeat something three times without specifying the count. When called with just text (`repeat_text(""Hello"")`), it repeats 3 times. When called with both parameters (`repeat_text(""Hi"", 5)`), it uses the specified count.

**Key Concept:** Default parameters can provide convenience defaults for common operations while maintaining flexibility."
mcsc,markdown,What is the primary characteristic to remember when **accessing list elements using indexing**?,,,,,,1,,They are essential data structures used to store and manipulate collections of data.,They can only store integer values.,They are automatically sorted in alphabetical order.,They cannot be assigned to variables.,,,,markdown,
subjective,markdown,"**Problem:**
Given the list `colors = ['red', 'green', 'blue', 'yellow', 'purple']`, access and print:
1. First element
2. Third element
3. Last element using positive index
4. Last element using negative index
5. Second to last element

**Expected Output:**
First: red
Third: blue
Last (positive): purple
Last (negative): purple
Second to last: yellow

**Category:** Implementation
**Prerequisite LOs:** 9.2.1",,,,,,,,,,,,,,0,markdown,"**Problem:** Write a function `greet` that takes a `name` parameter and an optional `greeting` parameter with default value ""Hello"". Return a greeting message.

**Solution:**
```python
def greet(name, greeting=""Hello""):
    return f""{greeting}, {name}!""

print(greet(""Alice""))  # Hello, Alice!
print(greet(""Bob"", ""Hi""))  # Hi, Bob!
print(greet(""Charlie"", ""Good morning""))  # Good morning, Charlie!
```

**Output:**
Hello, Alice!
Hi, Bob!
Good morning, Charlie!

**Explanation:**
The function has two parameters:
1. `name` - required parameter (no default)
2. `greeting` - optional parameter with default value ""Hello""

When called with just one argument (e.g., `greet(""Alice"")`), the `greeting` parameter uses its default value ""Hello"". When called with two arguments (e.g., `greet(""Bob"", ""Hi"")`), the second argument overrides the default value. The function returns a formatted greeting string using an f-string that combines the greeting and name.

**Key Concept:** Default parameters make function arguments optional, providing flexibility without requiring multiple function definitions."
subjective,markdown,"**Problem:**
Given this matrix:
```python
matrix = [
    [10, 20, 30],
    [40, 50, 60],
    [70, 80, 90]
]
```
Access and print:
1. The entire first row
2. The element at row 1, column 2
3. The center element (row 1, column 1)
4. The last element of the last row
5. The first element of the last row

**Expected Output:**
First row: [10, 20, 30]
Row 1, Col 2: 60
Center: 50
Last element: 90
Last row, first element: 70

**Category:** Implementation
**Prerequisite LOs:** 9.2.1",,,,,,,,,,,,,,0,markdown,"**Problem:** Create a function `power` that takes a base number and an exponent with a default value of 2. Return the result.

**Solution:**
```python
def power(base, exponent=2):
    return base ** exponent

print(power(5))  # 25 (5²)
print(power(2, 3))  # 8 (2³)
print(power(10))  # 100 (10²)
print(power(3, 4))  # 81 (3⁴)
```

**Output:**
25
8
100
81

**Explanation:**
This function calculates the power of a number. The `base` parameter is required, while `exponent` has a default value of 2 (for squaring). If you call `power(5)`, it calculates 5² = 25. If you call `power(2, 3)`, it calculates 2³ = 8. The default value of 2 is useful because squaring is a common operation, making the function convenient for that use case while still allowing other exponents.

**Key Concept:** Default parameters should represent the most common or sensible use case for that parameter."
subjective,markdown,"**Problem:**
Create a function `safe_access(lst, index)` that:
1. Returns the element if index is valid
2. Returns ""Index out of range"" if invalid
3. Test with a list `[10, 20, 30, 40, 50]` using indices: 0, 3, -1, 10, -10

**Expected Output:**
Index 0: 10
Index 3: 40
Index -1: 50
Index 10: Index out of range
Index -10: Index out of range

**Category:** Implementation
**Prerequisite LOs:** 9.2.1",,,,,,,,,,,,,,0.5,markdown,"**Problem:** Define a function `calculate_discount` that takes a price and a discount percentage with a default of 10%. Return the discounted price.

**Solution:**
```python
def calculate_discount(price, discount_percent=10):
    discount_amount = price * discount_percent / 100
    final_price = price - discount_amount
    return final_price

print(calculate_discount(100))  # 90.0 (10% off)
print(calculate_discount(100, 20))  # 80.0 (20% off)
print(calculate_discount(250))  # 225.0 (10% off)
print(calculate_discount(50, 5))  # 47.5 (5% off)
```

**Output:**
90.0
80.0
225.0
47.5

**Explanation:**
The function calculates the final price after applying a discount. The `discount_percent` parameter has a default value of 10, representing a common discount rate. The calculation:
1. Calculate discount amount: `price * discount_percent / 100`
2. Subtract from original price: `price - discount_amount`

When called with just the price (`calculate_discount(100)`), it uses the default 10% discount. When called with both parameters (`calculate_discount(100, 20)`), it uses the specified discount rate.

**Key Concept:** Default parameters work well for common business rules or standard values that can be overridden when needed."
