questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,option.5,option.6,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,"**HostelDesk** students keep asking: *""Where is parcel TRK-88421 right now?""* Courier status changes every few minutes and is not stored in the LLM's memory.

What is the best design choice?",,,,,,2,,Paste yesterday's tracking screenshot into the system prompt once,"**Call the courier tracking API**, parse the live JSON, and pass only the needed fields into the agent workflow",Ask the LLM to remember the parcel from last week's chat,Raise **temperature** so the model guesses the location faster,,,,6a3ce7f8cf3ecfdba03315ed,0,markdown,"Live parcel location is **external, changing data**. An **API** supplies current facts; the agent maps relevant JSON fields into a prompt instead of guessing.

Option 2 is correct.

Option 1 is incorrect because stale data causes wrong answers. Option 3 is incorrect because LLMs do not persist real tracking state across chats. Option 4 is incorrect because temperature affects wording randomness, not access to live data."
mcsc,markdown,"**DevSync** documentation says a component defines **what request may be sent** and **what response will be returned** between two software systems.

Which term does this describe?",,,,,,3,,JSON,HTTP status code,**API (Application Programming Interface)**,REST URL path only,,,,6a3ce7f8cf3ecfdba03315ed,0,markdown,"An **API** is a **contract** between components — agreed request/response shapes. **REST** and **JSON** are conventions and formats used inside that contract.

Option 3 is correct.

Option 1 is incorrect because JSON is a data format, not the full contract. Option 2 is incorrect because status codes summarise success/failure; they are not the contract itself. Option 4 is incorrect because a URL names a resource; the contract includes method, headers, params, and response body."
mcsc,markdown,"**FestRoute** needs **today's temperature** from Open-Meteo for Pune outdoor planning. The script must **read** data and **not change** anything on the weather server.

Which HTTP method should the Python script use?",,,,,,1,,**GET**,POST,DELETE,PATCH,,,,6a3ce7f8cf3ecfdba03315ed,0,markdown,"**GET** is the read-only method — fetch a resource without modifying server state. Open-Meteo forecast calls in the lab use **GET**.

Option 1 is correct.

Option 2 is incorrect because **POST** submits or creates data — not needed for a read-only weather fetch. Options 3 and 4 are not used in this session's read-only weather workflow."
mcsc,markdown,"**Nida** receives a courier API payload as one long **JSON string** in variable `raw_text`. She wants a Python **`dict`** so she can write `raw_text_parsed[""tracking_id""]`.

Which function should she use first?",,,,,,2,,`json.dumps(raw_text)`,**`json.loads(raw_text)`**,`json.load(raw_text)`,`requests.get(raw_text)`,,,,6a3ce7f8cf3ecfdba03315ed,0,markdown,"**`json.loads()`** parses a JSON **string** into a Python **dict**. **`json.load()`** reads from a **file object**, not a string variable.

Option 2 is correct.

Option 1 is incorrect because **`dumps`** converts dict → string (opposite direction). Option 3 is incorrect because **`load`** expects an open file handle. Option 4 is incorrect because **`requests.get`** sends HTTP requests, not parse strings."
mcsc,markdown,"**Meera** debugs a weather script. She accidentally calls:

`https://api.open-meteo.com/v1/forcast`
(typo: `forcast` instead of `forecast`)

The server responds, but she should **not** treat the body as weather data.

Which outcome is most likely?",,,,,,1,,**4xx client error** (for example **404 Not Found**) — fix the URL typo,**2xx success** — safe to parse JSON and prompt the LLM,**500** — always means her Python `import` statements are wrong,**401** — always means Open-Meteo requires a paid API key,,,,6a3ce7f8cf3ecfdba03315ed,0.5,markdown,"A wrong path is a **client-side URL mistake** → typically **4xx** (**404**). Check **status before** `response.json()`.

Option 1 is correct.

Option 2 is incorrect because non-2xx bodies must not be parsed as weather. Option 3 is incorrect because **5xx** is server-side failure, not Python syntax. Option 4 is incorrect because Open-Meteo forecast used in class is **keyless**; **401** is for auth/key problems."
mcsc,markdown,"After this line runs:

```python
response = requests.get(OPEN_METEO_URL, params=params, timeout=15)
```

**Arjun** wants a Python `dict` of weather data for a campus agent.

What is the correct **next** step?",,,,,,2,,Call `response.json()` immediately — `requests` guarantees valid forecast JSON,"**Check `response.status_code == 200`; if not, preview `response.text[:500]` and stop before parsing**",Paste `response.text` into the Groq prompt without reading the status code,Skip status checks when the URL starts with `https://`,,,,6a3ce7f8cf3ecfdba03315ed,0.5,markdown,"**Status-first** handling: verify **200** (success) before **`response.json()`**. Error bodies may be HTML or error JSON — not weather facts.

Option 2 is correct.

Option 1 is incorrect because failed requests can return non-JSON error bodies. Option 3 risks **hallucination grounded in error pages**. Option 4 is incorrect because HTTPS does not imply success."
mcmc,markdown,**CampusNet** is standardising read-only API calls in Python with **`requests`**. Which practices match the **safe GET** approach from the weather lab?,,,,,,,,Pass latitude and longitude via **`params=`** so they become URL query parameters,Set **`timeout=15`** (or similar) so the call does not hang indefinitely,**Check the status code before calling `response.json()`**,Paste the **entire** API JSON response into every LLM prompt to avoid mapping work,Use **GET** when the task is read-only and should not change server state,,"1, 2, 3, 5",6a3ce7f8cf3ecfdba03315ed,0.5,markdown,"Safe **GET**: **`params`**, **`timeout`**, **status check**, then parse. **GET** for read-only fetches.

Options 1, 2, 3, and 5 are correct.

Option 4 is incorrect because dumping full JSON wastes **tokens** and weakens clear **grounding**."
mcmc,markdown,"**Open-Air IIT** agents fetch a large Open-Meteo JSON tree but only need **city**, **temperature**, and a **plain-language weather description** for the Groq prompt.

Why **map fields into variables** instead of pasting raw JSON?",,,,,,,,**Reduces token usage** in the downstream LLM prompt,**Clearer grounding** — the model sees only relevant live facts,Lets developers **test extracted variables** before paying for an LLM call,Removes the need to ever check HTTP status codes,"Converting **`weather_code`** numbers to **words** (for example ""overcast"") helps the model interpret conditions",,"1, 2, 3, 5",6a3ce7f8cf3ecfdba03315ed,0.5,markdown,"**Field mapping** saves tokens, improves grounding, enables pre-LLM validation, and turns codes into prompt-safe language.

Options 1, 2, 3, and 5 are correct.

Option 4 is incorrect because status checks remain mandatory before parsing."
mcmc,markdown,"**FestRoute** builds a **weather → advice** agent: Open-Meteo for live Pune data, then Groq for outdoor setup guidance.

Which steps belong in a **correct** pipeline?",,,,,,,,**`requests.get`** to Open-Meteo with `latitude` / `longitude` in **`params`**; confirm status **200**,"Parse JSON and **extract only needed keys** into a `variables` dict (for example `temperature_c`, `weather_description`)",Build a user prompt that says **use only the live weather facts below** and forbids inventing temperature,Paste the **full** Open-Meteo JSON (all elevation and hourly fields) into Groq to be safe,Call **`client.chat.completions.create`** with the grounded prompt as **user** content,,"1, 2, 3, 5",6a3ce7f8cf3ecfdba03315ed,1,markdown,"The two-call pattern: **GET → map → grounded prompt → Groq**. Extract minimal fields; do not dump the full tree.

Options 1, 2, 3, and 5 are correct.

Option 4 is incorrect because it violates **token discipline** and makes grounding harder to audit."
mcmc,markdown,**OpsDash** is triaging API failures for a campus agent stack. Which statements are **correct**?,,,,,,,,An invalid **`GROQ_API_KEY`** on a Groq completion call often returns **401 Unauthorized**,**50+ Groq calls in one minute** on the free tier can trigger **429 Rate limit** — slow down and reduce call frequency,A successful Open-Meteo **GET** with parseable forecast data typically returns **200 OK**,**429** always means the Python file has invalid **JSON syntax**,"If Open-Meteo returns **200** but your code reads `temperture_2m` (typo) instead of `temperature_2m`, the API endpoint failed with **404**",,"1, 2, 3",6a3ce7f8cf3ecfdba03315ed,1,markdown,"**401** = auth/key problems. **429** = rate limits (not syntax). **200** = HTTP success. A **200** with a **key typo in your mapping code** is a **Python mapping bug**, not a **404** endpoint failure.

Options 1, 2, and 3 are correct.

Option 4 is incorrect because **429** is throttling, not JSON syntax. Option 5 is incorrect because **404** means wrong endpoint/path; **200** means the HTTP call succeeded."
