questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,A law college team is prototyping an assistant that reads **unpublished case summaries** stored only on lab laptops. Leadership wants **no student prompts or documents sent to a US cloud API** during this phase. Which setup best matches that goal?,,,,,,2,,Call OpenAI's public chat API from every student notebook,Run inference with **Ollama** on each laptop so weights and prompts stay on the machine,Paste case text into a public web chat with no login,Email case summaries to a shared Gmail account for manual review,,6a1159831ca9da4c01a683b8,0,markdown,"A **local LLM** runs on your machine; Ollama keeps prompts and data on-device during local inference—matching the privacy requirement. **Why others are wrong:** Call OpenAI's API, public web chat, and email all send or expose content outside controlled local inference."
mcsc,markdown,You have never downloaded a model on your PC. You want the **weights on disk** before you chat in the terminal. Which command should you run **first**?,,,,,,2,,`ollama run qwen2.5:0.5b`,`ollama pull qwen2.5:0.5b`,`ollama rm qwen2.5:0.5b`,`ollama ps`,,6a1159831ca9da4c01a683b8,0,markdown,"`ollama pull` downloads model weights once; `ollama run` loads and chats with an already-pulled model. **Why others are wrong:** `run` before `pull` fails if the model is missing. `rm` deletes a model. `ps` shows what is loaded in memory, not first-time download."
mcsc,markdown,A student on an **8 GB RAM** laptop runs `ollama pull llama3.1:70b` for a class demo. What is the **most likely** outcome on typical student hardware?,,,,,,2,,Instant replies faster than any cloud API,"The pull or run may fail, freeze, or make the machine unusable because the model needs far more memory than the laptop has","RAM usage stays under 500 MB because ""70b"" is only a label",Ollama automatically shrinks the model to 0.5B without telling the user,,6a1159831ca9da4c01a683b8,0,markdown,70B-class models often need **40+ GB** RAM; 8 GB laptops cannot host them reliably. **Why others are wrong:** Other options misstate memory needs or Ollama behaviour.
mcsc,markdown,Priya is practising **hundreds** of prompt variations for a personal project. She cares about **zero per-token bills** and keeping drafts on her device. Her friend Arjun needs **Llama 3.3 70B–class** answers in **under a second** on a weak laptop. What pairing is most reasonable?,,,,,,1,,Priya: local Ollama with a small pulled model; Arjun: **Groq** (or similar cloud API) for large-model speed,Both must pull 70B locally to learn properly,Priya must use only paid OpenAI; Arjun must avoid all cloud APIs,Local Ollama always beats cloud on quality and speed for every task,,6a1159831ca9da4c01a683b8,0,markdown,"Local small models avoid per-token cost and keep data on-device; Groq-class cloud APIs deliver large-model speed without local 70B weights. **Why others are wrong:** 70B local on weak laptops is discouraged; other pairings overgeneralise cost, quality, and speed trade-offs."
mcsc,markdown,"In Google Colab you store your Groq key in **Secrets** as `GROQ_API_KEY` and read it with `os.environ.get(""GROQ_API_KEY"")`. The notebook cell fails with ""API key not found"" even though you pasted a valid key. Which cause is **most likely**?",,,,,,2,,"Groq only works on Windows, not in Colab","The secret **name** does not match what the code expects, or notebook access to that secret was not enabled",You must run `ollama pull` inside Colab before any Groq call,`client.chat.completions.create` is invalid on Groq's API,,6a1159831ca9da4c01a683b8,0.5,markdown,Colab Secrets must match the exact name (`GROQ_API_KEY`) and grant notebook access—common live failure mode. **Why others are wrong:** Groq works from Colab; Ollama pull is unrelated; Groq uses OpenAI-style `chat.completions.create`.
mcsc,markdown,You already have a working **Groq** script using `client.chat.completions.create(...)` with `system` and `user` messages. You want the **same message list** on **Anthropic**. What change is **required** at the API call layer (keys and model names aside)?,,,,,,1,,Switch to `client.messages.create(...)` instead of `client.chat.completions.create(...)`,Remove all `role` fields because Anthropic does not use roles,Send prompts only as raw HTTP GET requests with no JSON body,Replace `messages` with SQL `JOIN` syntax,,6a1159831ca9da4c01a683b8,0.5,markdown,Anthropic's Python SDK uses `client.messages.create(...)` while Groq/OpenAI use `client.chat.completions.create(...)` for the same message-list idea. **Why others are wrong:** Anthropic still uses role-based messages; GET-only and SQL are not how either SDK works.
mcmc,markdown,"You are comparing **Qwen 2.5 0.5B** running locally through Ollama vs **Llama 3.3 70B** on Groq for the same homework task. Which statements about **very small local models** are correct?

*(Select all that apply)*",,,,,,,,They can run on many student laptops without tens of gigabytes of RAM,They never hallucinate because smaller models are always factual,"They are useful for learning APIs, privacy-sensitive drafts, and quick prototypes",They often trade away depth of reasoning and niche factual accuracy compared with large cloud models,"1,3,4",6a1159831ca9da4c01a683b8,0.5,markdown,Tiny models fit weak hardware and are great for learning/privacy; they trade accuracy/reasoning vs large models and can hallucinate more. **Why B is wrong:** Small models **can** hallucinate; class warns about confident wrong answers.
mcmc,markdown,"Your team runs a **fair comparison** between two cloud models on the same hospital-notes prompt. Which practices match what you should hold constant?

*(Select all that apply)*",,,,,,,,Keep the **same** system and user message text for both runs,"Change the system prompt heavily for model B so it ""gets a fair chance""",Change **only** the `model=` (or provider) identifier between runs,Raise temperature randomly between runs so results stay exciting,"1,3",6a1159831ca9da4c01a683b8,0.5,markdown,Fair comparison fixes prompt and system rules; only the model (or provider) changes. **Why B and D are wrong:** Changing system rules confounds the test; random temperature breaks comparability.
mcmc,markdown,"A product team might ship an open-weight **Qwen** or **DeepSeek** model for geopolitical Q&A. Which statements about **training-data bias** are correct?

*(Select all that apply)*",,,,,,,,"Answers can reflect geography, language, and viewpoints present in pre-training data—not a neutral encyclopedia",Open-source weights automatically remove all cultural or regional framing,The same user prompt can get different **framing** on models trained in different media ecosystems,Teams in regulated industries may choose models audited for their **jurisdiction** rather than assuming neutrality,"1,3,4",6a1159831ca9da4c01a683b8,1,markdown,Bias comes from training corpora; framing differs across ecosystems; enterprises may pick jurisdiction-appropriate models. **Why B is wrong:** Open weights do not remove bias—open access is not neutral answers.
mcmc,markdown,"You are browsing [ollama.com/library](https://ollama.com/library) before pulling a model for a **text-only** FAQ bot. Which statements are correct?

*(Select all that apply)*",,,,,,,,"**Modality** describes input/output types such as text, vision, audio, or video",Pulling a **vision** model for a text-only FAQ wastes disk and RAM with no benefit,`ollama pull` downloads weights; `ollama run` starts an interactive chat with a pulled model,Embeddings and full RAG pipelines were the main hands-on focus of the introductory local setup segment,"1,2,3",6a1159831ca9da4c01a683b8,1,markdown,"Modality is input/output type; vision pulls are wasteful for text-only; pull vs run is core CLI. Embeddings/RAG were **mentioned**, not the main hands-on local segment. **Why D is wrong:** Overstates embeddings/RAG depth in introductory Ollama setup."
