questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
subjective,markdown,"### **Create strings for:**

- Your name
- Your city
- Your email
Combine them into a sentence.",,,,,,,,,,,,,,,markdown,"```python
import math

class Circle:
    def __init__(self, radius):
        self.radius = radius
        self.area = math.pi * radius ** 2
        self.circumference = 2 * math.pi * radius

c = Circle(5)
print(f""Area: {c.area:.2f}"")              # Area: 78.54
print(f""Circumference: {c.circumference:.2f}"")  # Circumference: 31.42
```"
subjective,markdown,"### **Question 2**

```python
word = ""Python""
```
Print it:
- In uppercase
- In lowercase
- 3 times in a row",,,,,,,,,,,,,,,markdown,"```python
class Config:
    def __init__(self, host=""localhost"", port=8080, debug=False):
        self.host = host
        self.port = port
        self.debug = debug

c1 = Config()
c2 = Config(""0.0.0.0"", 3000, True)
c3 = Config(debug=True)

print(f""{c1.host}:{c1.port}"")  # localhost:8080
print(f""{c2.host}:{c2.port}"")  # 0.0.0.0:3000
print(f""Debug: {c3.debug}"")    # Debug: True
```"
subjective,markdown,"### **Create full name from parts:**

```python
first = ""Alice""
middle = ""Marie""
last = ""Johnson""
# Output: ""Alice Marie Johnson""
```",,,,,,,,,,,,,,,markdown,"```python
class Temperature:
    def __init__(self, celsius):
        if celsius < -273.15:
            raise ValueError(""Below absolute zero"")
        self.celsius = celsius

    def to_fahrenheit(self):
        return self.celsius * 9/5 + 32

t = Temperature(100)
print(t.to_fahrenheit())  # 212.0

try:
    Temperature(-300)
except ValueError as e:
    print(e)  # Below absolute zero
```"
subjective,markdown,"### **Check if email is valid:**

- Contains ""@""
- Ends with "".com""
```python
email = ""user@example.com""
```",,,,,,,,,,,,,,,markdown,"```python
class Team:
    def __init__(self, name, *members):
        self.name = name
        self.members = list(members)

    def add_member(self, name):
        self.members.append(name)

    def __len__(self):
        return len(self.members)

t = Team(""Dev"", ""Alice"", ""Bob"")
t.add_member(""Carol"")
print(len(t))        # 3
print(t.members)     # ['Alice', 'Bob', 'Carol']
```"
subjective,markdown,"### **Create a box around text:**

```python
text = ""Hello""
# Output:
# *******
# *Hello*
# *******
```
Use string operations!",,,,,,,,,,,,,,,markdown,"```python
class DataFrame:
    def __init__(self, data):
        if isinstance(data, dict):
            self._data = data
        elif isinstance(data, list) and data:
            keys = data[0].keys()
            self._data = {k: [row[k] for row in data] for k in keys}
        else:
            self._data = {}

    def columns(self):
        return list(self._data.keys())

    def rows(self):
        if not self._data:
            return []
        cols = self.columns()
        n = len(self._data[cols[0]])
        return [{c: self._data[c][i] for c in cols} for i in range(n)]

df1 = DataFrame({""name"": [""Alice"", ""Bob""], ""age"": [25, 30]})
print(df1.rows())

df2 = DataFrame([{""name"": ""Alice"", ""age"": 25}, {""name"": ""Bob"", ""age"": 30}])
print(df2.columns())  # ['name', 'age']
```"
subjective,markdown,"### Basic Dictionary Creation (3 minutes, Low Difficulty)

Create dictionaries using three different methods:
1. Using curly braces: a `book` dict with keys `title`, `author`, `year`, `pages`
2. Using `dict()`: a `settings` dict with keys `theme`, `language`, `notifications`
3. Using `dict.fromkeys()`: a `scores` dict with keys `Math`, `Science`, `English` all set to 0

Print each dictionary.

**Expected Output:**
book: {'title': 'Python Crash Course', 'author': 'Eric Matthes', 'year': 2019, 'pages': 544}
settings: {'theme': 'dark', 'language': 'en', 'notifications': True}
scores: {'Math': 0, 'Science': 0, 'English': 0}

**Key Concepts:** Multiple dictionary creation methods",,,,,,,,,,,,,,,markdown,"```python
import math

class Circle:
    def __init__(self, radius):
        self.radius = radius
        self.area = math.pi * radius ** 2
        self.circumference = 2 * math.pi * radius

c = Circle(5)
print(f""Area: {c.area:.2f}"")              # Area: 78.54
print(f""Circumference: {c.circumference:.2f}"")  # Circumference: 31.42
```"
subjective,markdown,"### Dictionary from Two Lists (3 minutes, Low Difficulty)

Given two lists:
```python
countries = ['India', 'Japan', 'Brazil', 'Germany', 'Australia']
capitals = ['New Delhi', 'Tokyo', 'Brasilia', 'Berlin', 'Canberra']
```

1. Create a dictionary mapping countries to capitals using `zip()`
2. Print the dictionary
3. Create the reverse mapping (capitals → countries) using a comprehension

**Expected Output:**
Countries to capitals: {'India': 'New Delhi', 'Japan': 'Tokyo', ...}
Capitals to countries: {'New Delhi': 'India', 'Tokyo': 'Japan', ...}

**Key Concepts:** `zip()` with `dict()`, dictionary comprehension",,,,,,,,,,,,,,,markdown,"```python
class Config:
    def __init__(self, host=""localhost"", port=8080, debug=False):
        self.host = host
        self.port = port
        self.debug = debug

c1 = Config()
c2 = Config(""0.0.0.0"", 3000, True)
c3 = Config(debug=True)

print(f""{c1.host}:{c1.port}"")  # localhost:8080
print(f""{c2.host}:{c2.port}"")  # 0.0.0.0:3000
print(f""Debug: {c3.debug}"")    # Debug: True
```"
subjective,markdown,"### Student Grade Book (5 minutes, Medium Difficulty)

Create a nested dictionary representing a grade book:

```python
# Structure: {student_name: {subject: grade}}
```

1. Create entries for 3 students with 3 subjects each
2. Print each student's grades
3. Calculate and print each student's average grade
4. Find the student with the highest average

**Expected Output:**
Alice: {'Math': 92, 'Science': 88, 'English': 95}
Bob: {'Math': 78, 'Science': 85, 'English': 80}
Charlie: {'Math': 95, 'Science': 92, 'English': 88}

Alice average: 91.67
Bob average: 81.00
Charlie average: 91.67
Top student: Alice (or Charlie, tied at 91.67)

**Key Concepts:** Nested dictionaries, iteration, calculations",,,,,,,,,,,,,,,markdown,"```python
class Temperature:
    def __init__(self, celsius):
        if celsius < -273.15:
            raise ValueError(""Below absolute zero"")
        self.celsius = celsius

    def to_fahrenheit(self):
        return self.celsius * 9/5 + 32

t = Temperature(100)
print(t.to_fahrenheit())  # 212.0

try:
    Temperature(-300)
except ValueError as e:
    print(e)  # Below absolute zero
```"
subjective,markdown,"### Word Frequency with Comprehension (5 minutes, Medium Difficulty)

Given a paragraph:
```python
text = ""python is great and python is fun and learning python is the best way to learn programming and programming is fun""
```

1. Build a word frequency dictionary using a loop
2. Build a dictionary of words that appear more than once (using comprehension)
3. Build a dictionary of word lengths (word → length) for unique words
4. Find the most frequent word

**Expected Output:**
Frequencies: {'python': 3, 'is': 4, 'great': 1, 'and': 3, ...}
Repeated words: {'python': 3, 'is': 4, 'and': 3, 'fun': 2, 'programming': 2}
Word lengths: {'python': 6, 'is': 2, 'great': 5, ...}
Most frequent: 'is' (4 times)

**Key Concepts:** Building dicts from data, comprehension filtering, `max()`",,,,,,,,,,,,,,,markdown,"```python
class Team:
    def __init__(self, name, *members):
        self.name = name
        self.members = list(members)

    def add_member(self, name):
        self.members.append(name)

    def __len__(self):
        return len(self.members)

t = Team(""Dev"", ""Alice"", ""Bob"")
t.add_member(""Carol"")
print(len(t))        # 3
print(t.members)     # ['Alice', 'Bob', 'Carol']
```"
subjective,markdown,"### Inventory System (5 minutes, Medium Difficulty)

Create an inventory system using dictionaries:

```python
# Each product: {name: {'price': float, 'quantity': int, 'category': str}}
```

1. Create an inventory with at least 5 products across 2+ categories
2. Write a function `total_value(inventory)` — sum of price × quantity for all products
3. Write a function `by_category(inventory)` — returns `{category: [product_names]}`
4. Write a function `low_stock(inventory, threshold)` — returns products below threshold
5. Print results for all three functions

**Expected Output:**
Total inventory value: $X,XXX.XX
By category: {'electronics': ['laptop', 'phone'], 'food': ['rice', 'bread'], ...}
Low stock (< 5): {'bread': 3, 'phone': 2}

**Key Concepts:** Nested dicts, iteration, building new dicts from existing ones",,,,,,,,,,,,,,,markdown,"```python
class DataFrame:
    def __init__(self, data):
        if isinstance(data, dict):
            self._data = data
        elif isinstance(data, list) and data:
            keys = data[0].keys()
            self._data = {k: [row[k] for row in data] for k in keys}
        else:
            self._data = {}

    def columns(self):
        return list(self._data.keys())

    def rows(self):
        if not self._data:
            return []
        cols = self.columns()
        n = len(self._data[cols[0]])
        return [{c: self._data[c][i] for c in cols} for i in range(n)]

df1 = DataFrame({""name"": [""Alice"", ""Bob""], ""age"": [25, 30]})
print(df1.rows())

df2 = DataFrame([{""name"": ""Alice"", ""age"": 25}, {""name"": ""Bob"", ""age"": 30}])
print(df2.columns())  # ['name', 'age']
```"
