questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
subjective,markdown,"What does `np.array([5, 10, 15])` return?

A. A Python list `[5, 10, 15]`

B. A NumPy ndarray of integers

C. A Python tuple `(5, 10, 15)`

D. A NumPy matrix object

**Answer:** B",,,,,,,,,,,,,,,markdown,"Identify the correct definition of vectorization in the context of NumPy.

Distinguish vectorization from other NumPy features such as reshaping, type conversion, or GPU acceleration.

Vectorization is about *how* an operation is applied — specifically, whether Python iterates element-by-element or hands the work off to a compiled routine.

The correct answer is **C**. Vectorization means expressing an operation on an entire array at once, with the actual iteration happening inside a compiled C routine — not in the Python interpreter. This eliminates Python loop overhead.

- **A** — Incorrect. ""Storing elements as 2D vectors"" is not what vectorization means. It has nothing to do with the geometric concept of a vector.
- **B** — Partially related but incorrect as a definition. Converting arrays to mathematical vectors describes linear algebra operations, not vectorization as a programming concept.
- **C** — Correct. When you write `arr * 2`, NumPy does not run a Python loop. It calls a compiled ufunc (universal function) that processes the entire array in one dispatch. The Python interpreter is involved only to call the function, not to iterate.
- **D** — Incorrect. GPU acceleration is a separate concept (available through CuPy or PyTorch). Standard NumPy runs on CPU only.

Answer: C"
mcsc,markdown,Which of the following is the universally accepted way to import NumPy in Python?,,,,,,2,,`import numpy`,`import numpy as np`,`from numpy import array`,`import np from numpy`,,,,markdown,"Identify which Python data structure stores elements as raw contiguous bytes without per-element Python object overhead.

Understand the fundamental memory model difference between Python lists, tuples, and NumPy arrays.

Ask: which structure was designed specifically for homogeneous numeric data and stores raw values side by side?

The correct answer is **C**. A NumPy ndarray stores all elements as raw values in a single contiguous memory block. Python lists and tuples store arrays of pointers, each pointing to a separately allocated Python object.

- **A (Python list)** — stores a C array of pointers. Each pointer points to a heap-allocated Python object (e.g., a `PyLong` for an integer). The object carries type info, reference count, and the value — ~28 bytes for a small integer. Total memory for a list of 1M integers: ~35 MB.
- **B (Python tuple)** — same model as a list structurally (array of pointers), just immutable. Same overhead per element.
- **C (NumPy ndarray)** — stores raw numeric bytes contiguously. A `float64` array of 1M elements = exactly 8 MB. No Python object per element, no pointer indirection. This is why arithmetic is fast: the CPU can read a block of values, apply an operation via SIMD, and write results without Python VM involvement.
- **D (Python dictionary)** — a hash table mapping keys to values. Not relevant to sequential numeric storage; has the highest overhead of all.

Answer: C"
subjective,markdown,"A junior analyst wrote the following code to create a numeric array but got unexpected results:

```python
import numpy as np

data = np.array([[1, 2, 3], [4, 5]])
print(data.dtype)
print(data * 2)
```

**Tasks:**
1. Run this code (mentally or in a notebook) and explain what `dtype` is printed and why.
2. Explain why `data * 2` does not perform element-wise multiplication as expected.
3. Fix the code so that `data` is a proper 2D float array with shape `(2, 3)` — add a missing element to make the rows equal length, then verify the dtype is `float64`.",,,,,,,,,,,,,,,markdown,"A developer uses `sys.getsizeof()` on a Python list and a NumPy array, sees similar sizes, and incorrectly concludes there is no memory difference.

Understand what `sys.getsizeof()` actually measures for a Python list and compute the true total memory including per-element object overhead.

`sys.getsizeof(a_list)` only measures the size of the list's internal pointer array — it does NOT follow the pointers to measure the objects each element points to.


```python
import sys
import numpy as np

n = 500_000
py_list = list(range(n))
np_arr  = np.array(py_list)

print(""List (pointer array only):"", sys.getsizeof(py_list), ""bytes"")  # ~4 MB
print(""NumPy array:              "", np_arr.nbytes, ""bytes"")            # ~4 MB

element_size = sys.getsizeof(py_list[0])  # 28 bytes for a small Python int
true_list_memory = sys.getsizeof(py_list) + n * element_size
print(f""\nTrue list memory: {true_list_memory / 1e6:.1f} MB"")
print(f""NumPy memory:     {np_arr.nbytes / 1e6:.1f} MB"")
print(f""Overhead factor:  {true_list_memory / np_arr.nbytes:.1f}x"")
```

**Output:**
```
List (pointer array only): 4000056 bytes
NumPy array:               4000000 bytes

True list memory: 18.0 MB
NumPy memory:     4.0 MB
Overhead factor:  4.5x
```

**What `sys.getsizeof(py_list)` measures:** Only the list object's header and its internal C array of pointers — one pointer (8 bytes) per element. It does NOT follow those pointers to count the memory of the pointed-to Python objects.

**What the teammate missed:** Each element in `list(range(n))` is a Python `int` object. A small Python integer takes 28 bytes (type pointer, reference count, ob_digit). For 500,000 elements: 500,000 × 28 = 14,000,000 bytes ≈ 14 MB. Add the pointer array (~4 MB) = **~18 MB total**.

**NumPy's actual usage:** 500,000 × 8 bytes (int64) = exactly **4 MB**. No per-element object overhead.

**Conclusion:** The list uses ~4.5× more memory for the same data. At dataset scale (tens of millions of rows), this can mean the difference between fitting in RAM and crashing.

**Correct measurement approach:** Use `tracemalloc` or `memory_profiler` for complete process-level memory, or calculate manually using `sys.getsizeof(element) × n + sys.getsizeof(list)`.

See the Detailed Explanation above for the complete solution."
subjective,markdown,"A data engineer receives sensor readings for three machines across two time periods as a nested Python list:

```python
readings = [[23.4, 19.1, 30.7],
            [22.8, 18.5, 31.2]]
```

**Tasks:**
1. Convert `readings` into a NumPy array named `arr`.
2. Print the array and confirm its type using `type()`.
3. Print its `shape` and `dtype`.

Expected output format:
```
[[23.4 19.1 30.7]
 [22.8 18.5 31.2]]
<class 'numpy.ndarray'>
Shape: (2, 3)
Dtype: float64
```",,,,,,,,,,,,,,,markdown,"Convert a list of 2 million Celsius temperatures to Kelvin using both a list comprehension and NumPy vectorization, then compare their speeds.

Demonstrate vectorization's real-world speed advantage on a large dataset and practise the `timeit` benchmarking workflow.

Use `timeit.timeit()` with a `lambda` to wrap the operation. Divide the result by the number of repetitions to get per-run time.


```python
import numpy as np
import timeit

n = 2_000_000
py_list = [float(i) * 0.01 for i in range(n)]   # synthetic Celsius data
np_arr  = np.array(py_list)

np_kelvin   = np_arr + 273.15
list_kelvin = [x + 273.15 for x in py_list]

reps = 5

t_np   = timeit.timeit(lambda: np_arr + 273.15,           number=reps) / reps
t_list = timeit.timeit(lambda: [x + 273.15 for x in py_list], number=reps) / reps

print(f""NumPy avg:          {t_np*1000:.2f} ms"")
print(f""List comprehension: {t_list*1000:.2f} ms"")
print(f""Speedup:            {t_list/t_np:.1f}x"")
```

**Typical output (varies by hardware):**
```
NumPy avg:          8.34 ms
List comprehension: 198.72 ms
Speedup:            23.8x
```

The speedup comes from two sources:
1. **No Python-level loop** — `np_arr + 273.15` dispatches to a compiled C broadcast addition. The Python interpreter is invoked once, not 2 million times.
2. **SIMD parallelism** — modern CPUs apply the same instruction to multiple values simultaneously (e.g., 4 float64 values per cycle with AVX).

The list comprehension iterates 2 million Python objects: look up `x`, check its type, create a new float, append to result list — all in interpreted Python. Inherently O(n) at Python speed.

For data science workloads with millions of rows, this 20–50× gap is the reason NumPy (and by extension, pandas, scikit-learn, TensorFlow) exists.

See the Detailed Explanation above for the complete solution."
subjective,markdown,"Which of the following statements about NumPy array creation using `np.array()` are true? (Select all that apply)

A. `np.array()` accepts Python lists as input

B. `np.array()` accepts Python tuples as input

C. If you mix integers and floats, NumPy upcasts everything to float

D. If you mix numbers and strings, NumPy converts everything to a Unicode string dtype (e.g., `<U21`)

**Answer:** A, B, C, D",,,,,,,,,,,,,,,markdown,"Identify genuine advantages of NumPy arrays over Python lists when working with numerical data.

Distinguish between real NumPy advantages and common misconceptions about what NumPy arrays support.

NumPy's design choices — fixed dtype, contiguous storage, compiled operations — each create specific advantages. One option describes a *disadvantage* disguised as an advantage.

The correct answers are **A, C, D**. NumPy uses less memory per element, supports vectorized operations, and enforces a fixed dtype that catches accidental coercion. Option B is wrong: NumPy arrays do NOT support mixed data types — that's actually a limitation (but an intentional one that enables speed).

- **A (lower memory per element)** — True. int64 in NumPy = 8 bytes. int in Python list = 28+ bytes. For large numeric datasets, NumPy uses 3–5× less memory. ✓
- **B (support for mixed types)** — False. NumPy arrays are homogeneous — all elements must be the same dtype. Mixing types causes silent upcasting or conversion to object dtype. This is a trade-off for speed, not a feature. ✗
- **C (vectorized arithmetic without loops)** — True. `arr * 2`, `arr1 + arr2`, `np.sqrt(arr)` all operate without Python-level loops. ✓
- **D (fixed dtype prevents accidental coercion)** — True. Once a NumPy array is created with `dtype=int64`, all values remain int64. There's no silent type-switching mid-computation. When you need float arithmetic, you explicitly cast. This predictability prevents bugs. ✓

Answer: A, C, D"
subjective,markdown,"Which of the following expressions correctly create a valid NumPy ndarray with numeric dtype? (Select all that apply)

A. `np.array([1, 2, 3])`

B. `np.array((4.0, 5.0, 6.0))`

C. `np.array([[1, 2], [3, 4]])`

D. `np.array([[1, 2], [3]])`

**Answer:** A, B, C",,,,,,,,,,,,,,,markdown,"Identify which operations are typically faster with NumPy arrays than with Python lists of the same size.

Understand which types of operations benefit from NumPy's vectorization and which do not.

Think about what NumPy is optimised for: bulk numeric operations. Then think about what Python lists are better at: dynamic resizing.

The correct answers are **A, B, D**. Adding a constant, computing a sum, and element-wise products are all bulk numeric operations — NumPy dispatches them to compiled routines and processes multiple elements per CPU cycle. Appending (option C) is the exception: NumPy arrays are fixed-size; `.append()` requires allocating a new array, which is slower than Python's list `.append()`.

- **A (`arr + 5`)** — vectorized scalar broadcast. Compiled C loop over contiguous memory. Significantly faster than a list comprehension. ✓
- **B (sum of all elements)** — `np.sum(arr)` uses SIMD-optimised summation over contiguous memory. `sum(py_list)` iterates Python objects one by one. ✓
- **C (appending)** — NumPy does NOT have an efficient append. `np.append()` allocates a brand new array every time (O(n) memory copy). Python lists use dynamic array doubling — amortised O(1). For repeated appends, lists win. ✗
- **D (element-wise product of two arrays)** — `arr1 * arr2` is vectorized. `[a*b for a,b in zip(l1,l2)]` loops in Python. NumPy is 20x–100x faster for large arrays. ✓

Answer: A, B, D"
subjective,markdown,"You receive a NumPy array `mystery` from a colleague's pipeline. Without knowing anything about it in advance, write a ""diagnostic report"" function called `describe_array(arr)` that prints:

```
Shape:  (rows, cols, ...)
ndim:   N
size:   total elements
dtype:  dtype_name
nbytes: memory in bytes
```

Test your function on the following array:

```python
mystery = np.array([[[1.0, 2.0], [3.0, 4.0]],
                    [[5.0, 6.0], [7.0, 8.0]]])
```

Expected output:
```
Shape:  (2, 2, 2)
ndim:   3
size:   8
dtype:  float64
nbytes: 64
```",,,,,,,,,,,,,,,markdown,"Convert a list of 2 million Celsius temperatures to Kelvin using both a list comprehension and NumPy vectorization, then compare their speeds.

Demonstrate vectorization's real-world speed advantage on a large dataset and practise the `timeit` benchmarking workflow.

Use `timeit.timeit()` with a `lambda` to wrap the operation. Divide the result by the number of repetitions to get per-run time.


```python
import numpy as np
import timeit

n = 2_000_000
py_list = [float(i) * 0.01 for i in range(n)]   # synthetic Celsius data
np_arr  = np.array(py_list)

np_kelvin   = np_arr + 273.15
list_kelvin = [x + 273.15 for x in py_list]

reps = 5

t_np   = timeit.timeit(lambda: np_arr + 273.15,           number=reps) / reps
t_list = timeit.timeit(lambda: [x + 273.15 for x in py_list], number=reps) / reps

print(f""NumPy avg:          {t_np*1000:.2f} ms"")
print(f""List comprehension: {t_list*1000:.2f} ms"")
print(f""Speedup:            {t_list/t_np:.1f}x"")
```

**Typical output (varies by hardware):**
```
NumPy avg:          8.34 ms
List comprehension: 198.72 ms
Speedup:            23.8x
```

The speedup comes from two sources:
1. **No Python-level loop** — `np_arr + 273.15` dispatches to a compiled C broadcast addition. The Python interpreter is invoked once, not 2 million times.
2. **SIMD parallelism** — modern CPUs apply the same instruction to multiple values simultaneously (e.g., 4 float64 values per cycle with AVX).

The list comprehension iterates 2 million Python objects: look up `x`, check its type, create a new float, append to result list — all in interpreted Python. Inherently O(n) at Python speed.

For data science workloads with millions of rows, this 20–50× gap is the reason NumPy (and by extension, pandas, scikit-learn, TensorFlow) exists.

See the Detailed Explanation above for the complete solution."
subjective,markdown,"What is the `dtype` of the array created by `np.array([1, 2, 3])` on most 64-bit systems?

A. float64

B. int32

C. int64

D. object

**Answer:** C",,,,,,,,,,,,,,,markdown,"Identify the correct definition of vectorization in the context of NumPy.

Distinguish vectorization from other NumPy features such as reshaping, type conversion, or GPU acceleration.

Vectorization is about *how* an operation is applied — specifically, whether Python iterates element-by-element or hands the work off to a compiled routine.

The correct answer is **C**. Vectorization means expressing an operation on an entire array at once, with the actual iteration happening inside a compiled C routine — not in the Python interpreter. This eliminates Python loop overhead.

- **A** — Incorrect. ""Storing elements as 2D vectors"" is not what vectorization means. It has nothing to do with the geometric concept of a vector.
- **B** — Partially related but incorrect as a definition. Converting arrays to mathematical vectors describes linear algebra operations, not vectorization as a programming concept.
- **C** — Correct. When you write `arr * 2`, NumPy does not run a Python loop. It calls a compiled ufunc (universal function) that processes the entire array in one dispatch. The Python interpreter is involved only to call the function, not to iterate.
- **D** — Incorrect. GPU acceleration is a separate concept (available through CuPy or PyTorch). Standard NumPy runs on CPU only.

Answer: C"
subjective,markdown,"What does `np.array([[1, 2, 3], [4, 5, 6]]).shape` return?

A. `6`

B. `(6,)`

C. `(2, 3)`

D. `(3, 2)`

**Answer:** C",,,,,,,,,,,,,,,markdown,"Identify which Python data structure stores elements as raw contiguous bytes without per-element Python object overhead.

Understand the fundamental memory model difference between Python lists, tuples, and NumPy arrays.

Ask: which structure was designed specifically for homogeneous numeric data and stores raw values side by side?

The correct answer is **C**. A NumPy ndarray stores all elements as raw values in a single contiguous memory block. Python lists and tuples store arrays of pointers, each pointing to a separately allocated Python object.

- **A (Python list)** — stores a C array of pointers. Each pointer points to a heap-allocated Python object (e.g., a `PyLong` for an integer). The object carries type info, reference count, and the value — ~28 bytes for a small integer. Total memory for a list of 1M integers: ~35 MB.
- **B (Python tuple)** — same model as a list structurally (array of pointers), just immutable. Same overhead per element.
- **C (NumPy ndarray)** — stores raw numeric bytes contiguously. A `float64` array of 1M elements = exactly 8 MB. No Python object per element, no pointer indirection. This is why arithmetic is fast: the CPU can read a block of values, apply an operation via SIMD, and write results without Python VM involvement.
- **D (Python dictionary)** — a hash table mapping keys to values. Not relevant to sequential numeric storage; has the highest overhead of all.

Answer: C"
subjective,markdown,"Given `arr = np.zeros((4, 3))`, which of the following statements are correct? (Select all that apply)

A. `arr.ndim` is `2`

B. `arr.size` is `12`

C. `arr.shape` is `(3, 4)`

D. `arr.dtype` is `float64`

**Answer:** A, B, D",,,,,,,,,,,,,,,markdown,"Identify genuine advantages of NumPy arrays over Python lists when working with numerical data.

Distinguish between real NumPy advantages and common misconceptions about what NumPy arrays support.

NumPy's design choices — fixed dtype, contiguous storage, compiled operations — each create specific advantages. One option describes a *disadvantage* disguised as an advantage.

The correct answers are **A, C, D**. NumPy uses less memory per element, supports vectorized operations, and enforces a fixed dtype that catches accidental coercion. Option B is wrong: NumPy arrays do NOT support mixed data types — that's actually a limitation (but an intentional one that enables speed).

- **A (lower memory per element)** — True. int64 in NumPy = 8 bytes. int in Python list = 28+ bytes. For large numeric datasets, NumPy uses 3–5× less memory. ✓
- **B (support for mixed types)** — False. NumPy arrays are homogeneous — all elements must be the same dtype. Mixing types causes silent upcasting or conversion to object dtype. This is a trade-off for speed, not a feature. ✗
- **C (vectorized arithmetic without loops)** — True. `arr * 2`, `arr1 + arr2`, `np.sqrt(arr)` all operate without Python-level loops. ✓
- **D (fixed dtype prevents accidental coercion)** — True. Once a NumPy array is created with `dtype=int64`, all values remain int64. There's no silent type-switching mid-computation. When you need float arithmetic, you explicitly cast. This predictability prevents bugs. ✓

Answer: A, C, D"
