questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,A campus canteen records **meal counts for 90 consecutive days** and wants to forecast next week's demand. Why must the rows stay in **date order**?,,,,,,2,,Because sklearn requires rows to be sorted alphabetically by column name,Because each day depends on the time sequence; shuffling destroys the forecasting story,Because PCA only works on chronologically sorted tables,Because K-Means assigns clusters by calendar month,,6a27caa8315e7982d2f0f3d3,0,markdown,"Time series rows are order-dependent — yesterday influences today. Shuffling breaks the timeline and makes forecasting meaningless. sklearn does not require alphabetical order (A). PCA and K-Means are unrelated to why canteen daily counts need date order (C, D)."
mcsc,markdown,"Over the last **10 years**, India's total smartphone users grew steadily even though some months dipped. Which pattern best describes that **long-term growth**?",,,,,,2,,Seasonality,Trend,Data leakage,Lag feature,,6a27caa8315e7982d2f0f3d3,0,markdown,"Trend is the long-term direction over months or years. Seasonality (A) is a repeating cycle at fixed intervals (e.g. summer spikes every year). Leakage (C) is a train/test mistake. Lag feature (D) is engineered input, not a pattern type."
mcsc,markdown,"An ice-cream delivery app sees orders **jump every summer and drop every winter**, repeating each year on a fixed calendar rhythm. Which pattern is this?",,,,,,2,,Trend,Seasonality,Random noise only,Future leakage,,6a27caa8315e7982d2f0f3d3,0,markdown,"Repeating peaks and dips at fixed yearly intervals is seasonality. A decade-long rise in total users would be trend (A). Noise alone (C) does not explain a predictable yearly rhythm. Leakage (D) is about train/test contamination, not sales cycles."
mcsc,markdown,A data team is about to shuffle rows before modeling. For which dataset is **random shuffling most dangerous**?,,,,,,2,,Customer segments from K-Means on purchase history (no date column),Daily stock closing prices for the last 2 years,Tumour measurements after PCA with no time column,Student exam marks from different colleges with no date column,,6a27caa8315e7982d2f0f3d3,0,markdown,"Daily stock prices are time series — shuffling causes future leakage. Options A, C, and D are tabular data where row order does not carry time meaning; random splits are acceptable there."
mcsc,markdown,"Daily sales for three consecutive days are **₹200**, **₹220**, and **₹215**. What is the **3-day rolling mean** for the **third day** (including that day and the two before it)?",,,,,,2,,₹205,₹211.67,₹220,₹635,,6a27caa8315e7982d2f0f3d3,0.5,markdown,"Rolling mean for day 3 = (200 + 220 + 215) / 3 = 635 / 3 ≈ **211.67**. ₹205 (A) is a wrong average. ₹220 (C) is only day 2's value. ₹635 (D) is the sum, not the mean."
mcsc,markdown,"Priya has an **ordered** daily sales DataFrame. She runs:

```python
train_test_split(X, y, test_size=0.2, shuffle=False)
```

What does the **test set** contain?",,,,,,2,,A random 20% of rows picked from anywhere in the timeline,The **last 20%** of rows in time order,The **first 20%** of rows in time order,Only rows where sales increased compared to the previous day,,6a27caa8315e7982d2f0f3d3,0.5,markdown,"With `shuffle=False`, sklearn keeps row order; `test_size=0.2` takes the final 20% as test — the future holdout. Random 20% (A) needs default `shuffle=True`. First 20% (C) would be train, not test. Sales increases (D) are not how the split works."
mcmc,markdown,Which statements about **lag features** built with `.shift()` on a daily `sales` column are correct?,,,,,,,,`lag_1 = sales.shift(1)` puts **yesterday's** sales on today's row.,The **first row** will typically show **NaN** for `lag_1`.,Creating lag features removes the need for any train/test split.,`sales.shift(7)` can help the model see **what happened one week ago**.,"1, 2, 4",6a27caa8315e7982d2f0f3d3,0.5,markdown,"`.shift(1)` pulls the previous row's value down (A). Row 1 has no prior day, so NaN is expected (B). Lags are features only — you still need a chronological split (C is false). Weekly seasonality hints come from shift(7) (D)."
mcmc,markdown,A team forecasts **monthly electricity use** for a city. Which practices help avoid **future leakage**?,,,,,,,,Sort the data by date before splitting.,Pass `shuffle=False` in `train_test_split`.,Train on future months and test on past months.,Compute MAPE only on the **chronological holdout** test period.,"1, 2, 4",6a27caa8315e7982d2f0f3d3,0.5,markdown,"Past → future split with no shuffle prevents the model from seeing tomorrow during training (A, B). Evaluating on the honest future holdout (D) matches real deployment. Training on future and testing on past (C) is backwards and leaky."
mcmc,markdown,A retail analyst compares two forecast models on the **same chronological test split**. Which statements are **valid**?,,,,,,,,"**MAPE** expresses error as a percentage of actual values, which helps compare forecasts across products with different scales.",**MAPE** is reliable when many test **actual values are exactly zero**.,A model with **higher test R²** on that split will **often** show **lower MAPE** than a weaker model.,**MAE** and **RMSE** from regression evaluation also apply to time-series forecasting tasks.,"1, 3, 4",6a27caa8315e7982d2f0f3d3,1,markdown,"MAPE is scale-free in percentage terms (A). MAPE divides by actual — it breaks when actual ≈ 0 (B is false). Better fit (higher R²) usually means smaller errors and lower MAPE (C). Forecasting is regression on numeric targets, so MAE/RMSE apply (D)."
mcmc,markdown,An analyst builds a **daily sales forecast** using lag and rolling features. Which steps belong in a **sound pipeline**?,,,,,,,,"Create `lag_1` and `rolling_mean_7`, then `dropna()` before fitting a model.","Randomly shuffle all rows, then use the first 80% as train and last 20% as test without `shuffle=False`.",Fit **LinearRegression** and **GradientBoostingRegressor** on the **same chronological train split** and compare test **R²** (and/or MAPE).,"Use `train_test_split(..., shuffle=True)` on dated sales data because it balances the classes.","1, 3",6a27caa8315e7982d2f0f3d3,1,markdown,"Engineer features, drop early NaN rows, then model (A). Compare LR and GB on the same honest split (C). Shuffling dated sales (B, D) causes future leakage — there are no ""classes"" to balance in regression (D)."
