questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,Which of the following is the primary advantage of **writing while loops for repeated execution**?,,,,,,1,,It automates the execution of repetitive tasks over a sequence or condition.,It replaces the need for defining functions in a program.,It automatically converts all data types into strings.,It prevents the program from encountering infinite loops.,,,,markdown,
subjective,markdown,"Write a while loop that prints numbers from 1 to 10.

**Expected Output:**
1
2
3
4
5
6
7
8
9
10

**Hint:** Initialize count = 1, loop while count <= 10, increment count each time.",,,,,,,,,,,,,,0,markdown,"**Problem:** Print a 5x5 multiplication table.

**Solution:**
```python
for i in range(1, 6):
    for j in range(1, 6):
        print(f""{i}x{j}={i*j:2}"", end=""  "")
    print()  # New line after each row
```

**Output:**
1x1=1  1x2=2  1x3=3  1x4=4  1x5=5
2x1=2  2x2=4  2x3=6  2x4=8  2x5=10
3x1=3  3x2=6  3x3=9  3x4=12 3x5=15
4x1=4  4x2=8  4x3=12 4x4=16 4x5=20
5x1=5  5x2=10 5x3=15 5x4=20 5x5=25

**Explanation:**
- Outer loop (`i`) runs 5 times for rows (1-5)
- Inner loop (`j`) runs 5 times for columns (1-5)
- For each combination, print i×j
- `{i*j:2}` formats numbers with minimum 2 spaces for alignment
- `print()` after inner loop creates new line for next row

**Key Concept:** Nested loops create a grid where outer loop controls rows, inner controls columns."
subjective,markdown,"Write a program that counts down from 5 to 1, then prints ""Blast off!""

**Expected Output:**
5
4
3
2
1
Blast off!

**Hint:** Start at 5, loop while > 0, decrement each iteration.",,,,,,,,,,,,,,0,markdown,"**Problem:** Print a rectangle of stars with 4 rows and 6 columns.

**Solution:**
```python
for row in range(4):
    for col in range(6):
        print('*', end=' ')
    print()  # New line after each row
```

**Output:**
* * * * * *
* * * * * *
* * * * * *
* * * * * *

**Explanation:**
- Outer loop runs 4 times (4 rows)
- Inner loop runs 6 times (6 columns)
- Print star on each iteration of inner loop
- New line after inner loop completes
- Total stars: 4 × 6 = 24

**Key Concept:** Same range for both loops creates a rectangle."
subjective,markdown,"Write a program that keeps asking for numbers and sums them. Stop when user enters 0.

**Example Interaction:**
Enter a number (0 to stop): 10
Enter a number (0 to stop): 20
Enter a number (0 to stop): 15
Enter a number (0 to stop): 0
Total: 45

**Hint:** Use sentinel value 0. Priming read before loop, read again at end of loop.",,,,,,,,,,,,,,0.5,markdown,"**Problem:** Print a right-angled triangle pattern with 5 rows.

**Solution:**
```python
for row in range(1, 6):
    for col in range(row):
        print('*', end=' ')
    print()
```

**Output:**
*
* *
* * *
* * * *
* * * * *

**Explanation:**
- Row 1: inner loop runs 1 time (range(1) = 0)
- Row 2: inner loop runs 2 times (range(2) = 0,1)
- Row 3: inner loop runs 3 times
- And so on...
- Number of stars per row equals row number

**Key Concept:** Inner loop range depends on outer loop variable creates triangle."
subjective,markdown,"Create a login system with maximum 3 attempts. Password is ""python123"". After 3 failed attempts, deny access.

**Example Output (correct on 2nd try):**
Enter password: wrong
Incorrect password
Enter password: python123
Access granted

**Hint:** Track attempts with counter, loop while password wrong AND attempts < max.",,,,,,,,,,,,,,0.5,markdown,"**Problem:** Print a triangle where each row contains row number repeated.

**Solution:**
```python
for row in range(1, 6):
    for col in range(row):
        print(row, end=' ')
    print()
```

**Output:**
1
2 2
3 3 3
4 4 4 4
5 5 5 5 5

**Explanation:**
- Same structure as star triangle
- Instead of printing '*', print the row number
- Row 1 prints: 1
- Row 2 prints: 2 2
- Row 3 prints: 3 3 3

**Key Concept:** Use outer loop variable in inner loop body for patterns."
subjective,markdown,"Write a program that finds and prints the first positive integer that is a multiple of 7.

**Expected Output:**
First multiple of 7: 7

**Hint:** Start at 1, loop while `number % 7 != 0`, increment number.",,,,,,,,,,,,,,1,markdown,"**Problem:** Create a 3x3 matrix filled with zeros using nested loops.

**Solution:**
```python
matrix = []

for row in range(3):
    current_row = []
    for col in range(3):
        current_row.append(0)
    matrix.append(current_row)

print(matrix)
```

**Output:**
```python
[[0, 0, 0],
 [0, 0, 0],
 [0, 0, 0]]
```

**Explanation:**
- Create empty matrix list
- Outer loop: create 3 rows
- For each row, create empty current_row list
- Inner loop: append 3 zeros to current_row
- Append completed row to matrix
- Result: 3×3 matrix of zeros

**Key Concept:** Nested loops build 2D data structures."
subjective,markdown,"Create a number guessing game. Secret number is 42. Keep asking until user guesses correctly, providing ""Too high"" or ""Too low"" hints.

**Example Interaction:**
Guess the number: 50
Too high!
Guess again: 30
Too low!
Guess again: 42
Correct! You guessed it!

**Hint:** Loop while guess != secret, provide feedback inside loop.",,,,,,,,,,,,,,0.5,markdown,"**Problem:** Print all possible pairs from two lists.

**Solution:**
```python
list1 = [1, 2, 3]
list2 = ['a', 'b', 'c']

for num in list1:
    for letter in list2:
        print(num, letter)
```

**Output:**
1 a
1 b
1 c
2 a
2 b
2 c
3 a
3 b
3 c

**Explanation:**
- Outer loop selects element from list1
- Inner loop pairs it with each element from list2
- For num=1: pairs with a, b, c
- For num=2: pairs with a, b, c
- For num=3: pairs with a, b, c
- Total pairs: 3 × 3 = 9

**Key Concept:** Nested loops generate all combinations (Cartesian product)."
mcsc,markdown,"Start with value = 1. Keep doubling it until it exceeds 1000. Print each value and count iterations.

**Expected Output:**
Iteration 0: 1
Iteration 1: 2
Iteration 2: 4
Iteration 3: 8
Iteration 4: 16
Iteration 5: 32
Iteration 6: 64
Iteration 7: 128
Iteration 8: 256
Iteration 9: 512
Final value: 1024
Total iterations: 10

**Hint:** Loop while value <= 1000, multiply value by 2 each time, track iterations.",,,,,,,,,,,,,,,markdown,"**Problem:** Calculate sum of all elements in a 2D list.

**Solution:**
```python
matrix = [[1, 2, 3],
          [4, 5, 6],
          [7, 8, 9]]

total = 0

for row in matrix:
    for element in row:
        total += element

print(f""Sum: {total}"")
```

**Output:**
Sum: 45

**Explanation:**
- Initialize total to 0
- Outer loop: iterate through each row
- Inner loop: iterate through elements in that row
- Add each element to total
- Sum: 1+2+3+4+5+6+7+8+9 = 45

**Key Concept:** Process all elements in 2D structure with nested loops."
mcsc,markdown,"Calculate factorial of 5 (5! = 5 × 4 × 3 × 2 × 1) using a while loop.

**Expected Output:**
5! = 120

**Hint:** factorial = 1, i = 1, loop while i <= n, multiply factorial by i.",,,,,,,,,,,,,,,markdown,"**Problem:** Print an inverted right-angled triangle.

**Solution:**
```python
for row in range(5, 0, -1):
    for col in range(row):
        print('*', end=' ')
    print()
```

**Output:**
* * * * *
* * * *
* * *
* *
*

**Explanation:**
- Outer loop: 5, 4, 3, 2, 1 (decreasing)
- Row 1: range(5) prints 5 stars
- Row 2: range(4) prints 4 stars
- Row 3: range(3) prints 3 stars
- And so on...

**Key Concept:** Decreasing range creates inverted patterns."
mcsc,markdown,"Generate and print the first 10 Fibonacci numbers (0, 1, 1, 2, 3, 5, 8, 13, 21, 34).

**Expected Output:**
First 10 Fibonacci numbers:
0 1 1 2 3 5 8 13 21 34

**Hint:** Use two variables (a, b), simultaneous assignment: `a, b = b, a + b`.",,,,,,,,,,,,,,,markdown,"**Problem:** Print a number pyramid with spacing.

**Solution:**
```python
for row in range(1, 6):
    for space in range(5 - row):
        print(' ', end='')
    for num in range(row):
        print(row, end=' ')
    print()
```

**Output:**
    1
   2 2
  3 3 3
 4 4 4 4
5 5 5 5 5

**Explanation:**
- Row 1: 4 spaces, then 1
- Row 2: 3 spaces, then 2 2
- Row 3: 2 spaces, then 3 3 3
- Spaces = 5 - row
- Numbers = row times

**Key Concept:** Multiple inner loops for complex patterns (spaces + content)."
