questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,Which statement is true regarding the concept of **defining and initializing variables in python**?,,,,,,1,,It is a fundamental feature that enables this specific logic or operation in Python.,It is a visual styling tool for output formatting.,It is a module that must be downloaded via pip before every use.,It is an outdated practice not included in Python 3.,,,,markdown,
subjective,markdown,"Create three variables:
- `student_name` with your name
- `student_age` with your age
- `student_grade` with a grade (A, B, C, etc.)

Print all three variables.

**Expected Output**:
Alice
20
A",,,,,,,,,,,,,,0,markdown,"```python
age = int(input(""Enter your age: ""))
can_vote = age >= 18
print(f""Can vote: {can_vote}"")
```

- Get age as integer input
- Use `>=` to check if 18 or older
- Store boolean result in `can_vote`
- Print the result"
subjective,markdown,"Create a variable `temperature` with value 72. Change it to 68. Then change it to 75. Print after each change.

**Expected Output**:
72
68
75",,,,,,,,,,,,,,0,markdown,"```python
num1 = int(input(""Enter first number: ""))
num2 = int(input(""Enter second number: ""))

print(f""{num1} == {num2}: {num1 == num2}"")
print(f""{num1} != {num2}: {num1 != num2}"")
print(f""{num1} > {num2}: {num1 > num2}"")
print(f""{num1} < {num2}: {num1 < num2}"")
print(f""{num1} >= {num2}: {num1 >= num2}"")
print(f""{num1} <= {num2}: {num1 <= num2}"")
```

- Get two numbers from user
- Perform all six comparisons
- Use f-strings to display each comparison and its result
- Each comparison returns True or False"
subjective,markdown,"Create a variable `game_score` starting at 0. Add 100 points (level 1 complete), then add 150 points (level 2 complete), then subtract 50 points (penalty). Print the score after each change.

**Expected Output**:
0
100
250
200",,,,,,,,,,,,,,0.5,markdown,"```python
score = int(input(""Enter your score: ""))

failed = score < 60
passed = score >= 60
excellent = score >= 90

print(f""Failed: {failed}"")
print(f""Passed: {passed}"")
print(f""Excellent: {excellent}"")
```

- Store score from user
- Create three boolean variables:
  - `failed`: score less than 60
  - `passed`: score 60 or higher
  - `excellent`: score 90 or higher
- Print all three results"
subjective,markdown,"Create variables for:
- `item_price = 25`
- `quantity = 3`
- `total` (calculated as price × quantity)

Print the total. Then change quantity to 5 and recalculate total.

**Expected Output**:
75
125",,,,,,,,,,,,,,0.5,markdown,"```python
password = input(""Enter password: "")
length = len(password)

minimum_strength = length >= 8
strong = length >= 12

print(f""Minimum strength (8+ chars): {minimum_strength}"")
print(f""Strong (12+ chars): {strong}"")
```

- Get password string from user
- Calculate length using `len()`
- Check if length meets minimum (8 chars)
- Check if length is strong (12 chars)
- Print both results"
subjective,markdown,"You have two variables:
```python
a = 10
b = 20
```

Swap their values so `a` becomes 20 and `b` becomes 10. You'll need a third temporary variable!

**Expected Output**:
a = 20
b = 10",,,,,,,,,,,,,,0.5,markdown,"```python
temp = float(input(""Enter temperature in Celsius: ""))

is_freezing = temp <= 0
is_cold = temp < 15
is_comfortable = temp >= 15 and temp <= 25
is_hot = temp > 25
is_very_hot = temp >= 35

print(f""Freezing: {is_freezing}"")
print(f""Cold: {is_cold}"")
print(f""Comfortable: {is_comfortable}"")
print(f""Hot: {is_hot}"")
print(f""Very hot: {is_very_hot}"")
```

- Get temperature as float (can have decimals)
- Create five boolean variables with different conditions:
  - `is_freezing`: 0 or below
  - `is_cold`: below 15
  - `is_comfortable`: between 15 and 25 (uses `and` - will learn more in next LO!)
  - `is_hot`: above 25
  - `is_very_hot`: 35 or above
- Print all results

**Note**: The `and` keyword used in `is_comfortable` combines two conditions. This is a preview of logical operators (next lesson)!

```python
temp = float(input(""Enter temperature in Celsius: ""))

is_freezing = temp <= 0
is_cold = temp < 15
is_warm_enough = temp >= 15
is_not_too_hot = temp <= 25
is_comfortable = is_warm_enough and is_not_too_hot  # Combine two booleans
is_hot = temp > 25
is_very_hot = temp >= 35

print(f""Freezing: {is_freezing}"")
print(f""Cold: {is_cold}"")
print(f""Comfortable: {is_comfortable}"")
print(f""Hot: {is_hot}"")
print(f""Very hot: {is_very_hot}"")
```"
mcsc,markdown,Which statement is true regarding the concept of **applying pep 8 variable naming conventions**?,,,,,,1,,It is a fundamental feature that enables this specific logic or operation in Python.,It is a visual styling tool for output formatting.,It is a module that must be downloaded via pip before every use.,It is an outdated practice not included in Python 3.,,,,markdown,
mcsc,markdown,a) `student_name`,,,,,,,,`2nd_place`,`first-name`,`_private`,,,,0,markdown,"```python
age = int(input(""Enter your age: ""))
can_vote = age >= 18
print(f""Can vote: {can_vote}"")
```

- Get age as integer input
- Use `>=` to check if 18 or older
- Store boolean result in `can_vote`
- Print the result"
subjective,markdown,"- `studentName` →
- `TotalScore` →
- `userEmail` →",,,,,,,,,,,,,,0,markdown,"```python
num1 = int(input(""Enter first number: ""))
num2 = int(input(""Enter second number: ""))

print(f""{num1} == {num2}: {num1 == num2}"")
print(f""{num1} != {num2}: {num1 != num2}"")
print(f""{num1} > {num2}: {num1 > num2}"")
print(f""{num1} < {num2}: {num1 < num2}"")
print(f""{num1} >= {num2}: {num1 >= num2}"")
print(f""{num1} <= {num2}: {num1 <= num2}"")
```

- Get two numbers from user
- Perform all six comparisons
- Use f-strings to display each comparison and its result
- Each comparison returns True or False"
subjective,markdown,"```python
1st_place = ""Gold""
user-email = ""test@test.com""
for = 10
total$price = 99.99
```",,,,,,,,,,,,,,0.5,markdown,"```python
score = int(input(""Enter your score: ""))

failed = score < 60
passed = score >= 60
excellent = score >= 90

print(f""Failed: {failed}"")
print(f""Passed: {passed}"")
print(f""Excellent: {excellent}"")
```

- Store score from user
- Create three boolean variables:
  - `failed`: score less than 60
  - `passed`: score 60 or higher
  - `excellent`: score 90 or higher
- Print all three results"
subjective,markdown,"- First name
- Last name
- Age
- GPA
- Is enrolled (boolean)",,,,,,,,,,,,,,0.5,markdown,"```python
password = input(""Enter password: "")
length = len(password)

minimum_strength = length >= 8
strong = length >= 12

print(f""Minimum strength (8+ chars): {minimum_strength}"")
print(f""Strong (12+ chars): {strong}"")
```

- Get password string from user
- Calculate length using `len()`
- Check if length meets minimum (8 chars)
- Check if length is strong (12 chars)
- Print both results"
